sample	cohort	included_in_clustering	exclusion_reason
DLBCL_MAYO_DLBCL_3653	Shipp	True	
DLBCL_C_D_1152_NULLPAIR	Shipp	True	
DLBCL_RICOVER_1192	Shipp	True	
DFCIDL001_DT	Shipp	True	
DLBCL_LS1620	Shipp	True	
DLBCL_RICOVER_224	Shipp	True	
DLBCL_LS4394	Shipp	True	
DLBCL_RICOVER_1144	Shipp	True	
DLBCL_RICOVER_335	Shipp	True	
DLBCL_C_D_1159_NULLPAIR	Shipp	True	
DLBCL_MC_F606_DMJ	Shipp	True	
DLBCL_C_D_1127_NULLPAIR	Shipp	True	
DLBCL_RICOVER_258	Shipp	True	
DLBCL_RICOVER_773	Shipp	True	
DLBCL_RICOVER_99	Shipp	True	
DLBCL_C_D_1162_NULLPAIR	Shipp	True	
DLBCL_RICOVER_274	Shipp	True	
DLBCL_C_D_1144_NULLPAIR	Shipp	True	
DLBCL_RICOVER_408	Shipp	True	
DLBCL_C_D_1157_NULLPAIR	Shipp	True	
DLBCL_RICOVER_290	Shipp	True	
DLBCL_LS4593	Shipp	True	
DLBCL_BWH_DLBCL64	Shipp	True	
DLBCL_LS3387	Shipp	True	
DLBCL_RICOVER_985	Shipp	True	
DLBCL_C_D_1130_NULLPAIR	Shipp	True	
DLBCL_RICOVER_473	Shipp	True	
DLBCL_LS3200	Shipp	True	
DLBCL_C_D_1153_NULLPAIR	Shipp	True	
DLBCL_MC_F519_ALT	Shipp	True	
DLBCL_LS2305	Shipp	True	
DLBCL_MC_F502_RFK	Shipp	True	
DLBCL_C_D_1151_NULLPAIR	Shipp	True	
DLBCL_MC_F210_GWC	Shipp	True	
DLBCL_C_D_1110_NULLPAIR	Shipp	True	
DLBCL_C_D_PAIR23	Shipp	True	
DLBCL_RICOVER_151	Shipp	True	
DLBCL_LS2596	Shipp	True	
DLBCL_LS3820	Shipp	True	
DLBCL_RICOVER_694	Shipp	True	
DLBCL_RICOVER_623	Shipp	True	
DLBCL_LS1546	Shipp	True	
DLBCL_MAYO_DLBCL_5613	Shipp	True	
DLBCL_RICOVER_417	Shipp	True	
DLBCL_LS762	Shipp	True	
DLBCL_C_D_1139_NULLPAIR	Shipp	True	
DLBCL_LS2245	Shipp	True	
DLBCL_RICOVER_583	Shipp	True	
DLBCL_C_D_PAIR22	Shipp	True	
DLBCL_RICOVER_720	Shipp	True	
DLBCL_MAYO_DLBCL_7359	Shipp	True	
DLBCL_LS1583	Shipp	True	
DLBCL_RICOVER_314	Shipp	True	
DLBCL_RICOVER_216	Shipp	True	
DLBCL_RICOVER_197	Shipp	True	
DLBCL_LS2328	Shipp	True	
DLBCL_C_D_1135_NULLPAIR	Shipp	True	
DLBCL_C_D_PAIR9	Shipp	True	
DLBCL_RICOVER_704	Shipp	True	
DLBCL_MC_F262_WLC	Shipp	True	
DLBCL_MC_F089_HCZ	Shipp	True	
DLBCL_RICOVER_866	Shipp	True	
DLBCL_MC_F307_JPS	Shipp	True	
DLBCL_RICOVER_822	Shipp	True	
DLBCL_RICOVER_1329	Shipp	True	
DLBCL_C_D_1166_NULLPAIR	Shipp	True	
DLBCL_LS4619	Shipp	True	
DLBCL_RICOVER_617	Shipp	True	
DLBCL_C_D_1115_NULLPAIR	Shipp	True	
DLBCL_RICOVER_1287	Shipp	True	
DLBCL_LS1304	Shipp	True	
DLBCL_RICOVER_1289	Shipp	True	
DLBCL_RICOVER_1060	Shipp	True	
DLBCL_LS1395	Shipp	True	
DLBCL_C_D_1145_NULLPAIR	Shipp	True	
DLBCL_LS843	Shipp	True	
DLBCL_LS1065	Shipp	True	
DLBCL_RICOVER_1247	Shipp	True	
DLBCL_MC_F927_JHS	Shipp	True	
DLBCL_RICOVER_1219	Shipp	True	
DLBCL_RICOVER_181	Shipp	True	
DLBCL_LS2325	Shipp	True	
DLBCL_RICOVER_266	Shipp	True	
DLBCL_RICOVER_105	Shipp	True	
DLBCL_RICOVER_711	Shipp	True	
DLBCL_RICOVER_148	Shipp	True	
DLBCL11539	Staudt	True	
DLBCL10879	Staudt	True	
DLBCL11473	Staudt	True	
DLBCL10514	Staudt	True	
DLBCL10881	Staudt	True	
DLBCL11560	Staudt	True	
DLBCL11528	Staudt	True	
DLBCL11482	Staudt	True	
DLBCL10950	Staudt	True	
DLBCL10546	Staudt	True	
DLBCL10459	Staudt	True	
DLBCL10916	Staudt	True	
DLBCL10492	Staudt	True	
DLBCL11657	Staudt	True	
DLBCL10999	Staudt	True	
DLBCL11586	Staudt	True	
DLBCL11496	Staudt	True	
DLBCL11478	Staudt	True	
DLBCL10985	Staudt	True	
DLBCL10977	Staudt	True	
