entity:sample_id	blat_passed_maf	hg38_WXS_bam_path	submitter_id
087008ff-c9a0-4698-98c7-425d1fd3d01c	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/blatMAFs/DLBCL10546.blat.maf	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/35a5f8a7-0766-4c1d-841b-d39d80b9d8ae/gdc_file_downloader_workflow/00d9117a-a5a7-40d0-ad52-a0f9778ec999/call-gdc_file_downloader/dd96913d-5dde-4f4e-bb2c-445327919a3a/899675a3-ef63-48ec-aa4f-d607035b77a0_gdc_realn.bam	DLBCL10546
08a1312f-0a73-485e-8ad5-3c2ee0e15f19	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/blatMAFs/DLBCL10459.blat.maf	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/a4b432dd-2b93-4998-abba-377dad86f104/gdc_file_downloader_workflow/567c5636-423b-4f13-a38c-9b6748a1fec2/call-gdc_file_downloader/attempt-2/e6f3f9f3-52bc-4b4b-bdeb-af8f782b72de/5b1b5950-9675-4a3f-a38d-6a833b6556d2_gdc_realn.bam	DLBCL10459
08c27101-e21b-4389-929c-0531774a55c0	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/blatMAFs/DLBCL10916.blat.maf	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/173c73a2-aab5-4bd9-bedc-2de02230d70d/gdc_file_downloader_workflow/143f3fb9-9e7d-40dd-b9bd-87e7a5933301/call-gdc_file_downloader/ba89e420-8c9a-4f41-b3fa-148d51357934/1ca65f7a-40f5-4841-9d80-472d77378969_gdc_realn.bam	DLBCL10916
08f107bf-08d2-49f3-8e07-6bb8ee79c653	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/blatMAFs/DLBCL10492.blat.maf	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/c954e35d-5186-4f77-a94b-5d85d2c378d9/gdc_file_downloader_workflow/bd9f4009-fef8-4ec0-8c81-8ae331591e65/call-gdc_file_downloader/42afad50-183b-4ca0-9f27-ec18cfd00312/b645452e-0afa-43ab-b6b0-796239c46793_gdc_realn.bam	DLBCL10492
092ca590-28b4-43c3-ab3b-1df79cf82419	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/blatMAFs/DLBCL11657.blat.maf	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/a4b432dd-2b93-4998-abba-377dad86f104/gdc_file_downloader_workflow/54761689-1f7f-4bec-98e8-0eb7c79fc78d/call-gdc_file_downloader/3d07ddd3-619d-4ad6-a445-92d27f990ec4/a88188e9-fdcb-490e-a314-6d567cce0ab0_gdc_realn.bam	DLBCL11657
09358447-1bce-49b6-849a-8e9a1b414b0c	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/blatMAFs/DLBCL10999.blat.maf	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/36225f23-a6c2-4e4a-bf3a-bf46eee7b242/gdc_file_downloader_workflow/fcc1d184-e941-44d7-b5be-0567d3b607a5/call-gdc_file_downloader/8e61866a-05d5-4bc3-a789-0b2d0a7e20b9/cb759a3a-77c1-40c6-96ea-5d0b7a4b1300_gdc_realn.bam	DLBCL10999
0a1900f8-143d-4a72-856c-c30cf76d8ebf	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/blatMAFs/DLBCL11586.blat.maf	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/09a17895-f412-4755-8c27-fb20ad826ce7/gdc_file_downloader_workflow/a2dc1563-6d5f-4631-8948-9c9633fdbfab/call-gdc_file_downloader/edeca898-5b1d-4c11-bfc2-88cd2276a211/5f143f09-8a37-4bae-ab3c-a532751d5284_gdc_realn.bam	DLBCL11586
0a9b1905-d484-45df-8bfa-7adeb5b5fd21	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/blatMAFs/DLBCL11496.blat.maf	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/bd58c4e5-3117-4921-b94e-5475e911be0d/gdc_file_downloader_workflow/3145df17-d227-418d-8c9d-f01a974c62d6/call-gdc_file_downloader/d94d2dea-84ce-48c9-bf50-0b65ebe5484b/7b694d3a-1021-4204-9f06-6c53ef2cc188_gdc_realn.bam	DLBCL11496
0aec7310-f03c-4e16-951b-8d4fbc0ef51d	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/blatMAFs/DLBCL11492.blat.maf	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/f32d6745-7c28-4c8c-bc66-c8e5389cd9d0/gdc_file_downloader_workflow/7160fbec-b300-4665-9731-428bf688c3b1/call-gdc_file_downloader/2bcdda9c-4f5f-4499-84ab-e44af43a9ab8/e1a95d9f-6650-421b-8336-a6e465421fd2_gdc_realn.bam	DLBCL11492
0afc59d6-c841-4765-9330-5d4c77bd0126	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/blatMAFs/DLBCL11478.blat.maf	gs://fc-secure-d3d4bb1a-7835-45ba-959b-b7bc0042bda5/73a07941-7db1-45ad-829d-2a9b6fbfeedb/gdc_file_downloader_workflow/1ffcb577-6aa6-4641-b740-8e714ff530eb/call-gdc_file_downloader/5ec9fb7c-3c7e-4d75-b1a5-29b9dce04303/1cd549cd-14d8-49aa-814a-614abe98f24c_gdc_realn.bam	DLBCL11478
