"Supplementary Table 8b: Consensus clustering - Cophenetic Coeeficient for k=4 to k=10 clusters, Membership of each sample in k=5 and Silhouette Values "										
k	Cophenetic Coeeficient			individual_id	Cluster			SampleName	Cluster	silhouetteValue
				DLBCL-LS4593	3			DLBCL-LS2089	2	0.028921563
				DLBCL-LS4616	3			DLBCL-LS2258	2	0.038590865
				DLBCL-LS4618	3			DLBCL-LS2328	2	0.01639362
				DLBCL-LS4619	3			DLBCL-LS3085	2	0.163463293
				DLBCL-LS762	3			DLBCL-LS3204	2	0.108591459
				DLBCL-LS843	3			DLBCL-LS3245	2	0.16191551
				DLBCL-LS88	2			DLBCL-LS3309	2	0.037067001
				DLBCL-LS951	4			DLBCL-LS3749	2	0.088020753
				DLBCL-MAYO_DLBCL_234	3			DLBCL-LS4054	2	0.121589919
				DLBCL-MAYO_DLBCL_3653	4			DLBCL-LS88	2	0.06928326
				DLBCL-MAYO_DLBCL_5613	1			DLBCL-MAYO_DLBCL_7359	2	0.113532635
				DLBCL-MAYO_DLBCL_7359	2			DLBCL-MC_F089_HCZ	2	-0.004206048
				DLBCL-MC_F064AB	3			DLBCL-MC_F210_GWC	2	-0.019566614
				DLBCL-MC_F089_HCZ	2			DLBCL-MC_F496DMP	2	0.113130169
				DLBCL-MC_F089_MLB	5			DLBCL-MC_F500_ECU	2	-0.138868893
				DLBCL-MC_F132_MLM	1			DLBCL-MC_F502_RFK	2	0.222087161
				DLBCL-MC_F139_AD	1			DLBCL-MC_F729_MAN	2	0.080817986
				DLBCL-MC_F139_LJF	4			DLBCL-MC_F739_AMA3	2	0.174872355
				DLBCL-MC_F210_GWC	2			DLBCL-MC_F959_ERM	2	0.263600982
				DLBCL-MC_F218_RAP	4			DLBCL-MC_F990_MNA	2	0.200553229
				DLBCL-MC_F231_CAO	0			DLBCL-RICOVER_1060	2	0.145996526
				DLBCL-MC_F262_WLC	1			DLBCL-RICOVER_107	2	-0.109747843
				DLBCL-MC_F300_TBF	1			DLBCL-RICOVER_1072	2	-0.007591321
				DLBCL-MC_F307_JPS	1			DLBCL-RICOVER_1165	2	-0.099102671
				DLBCL-MC_F339_JPS2	5			DLBCL-RICOVER_1169	2	0.134898205
				DLBCL-MC_F344_CJS	3			DLBCL-RICOVER_1210	2	0.173961204
				DLBCL-MC_F349_BJJ	3			DLBCL-RICOVER_1235	2	0.087788212
				DLBCL-MC_F358_WDS	3			DLBCL-RICOVER_126	2	0.081863416
				DLBCL-MC_F362_MJB1	3			DLBCL-RICOVER_174	2	-0.082161184
				DLBCL-MC_F496DMP	2			DLBCL-RICOVER_253	2	0.12829033
				DLBCL-MC_F500_ECU	2			DLBCL-RICOVER_266	2	-0.003746359
				DLBCL-MC_F502_RFK	2			DLBCL-RICOVER_288	2	-0.011103478
				DLBCL-MC_F519_ALT	5			DLBCL-RICOVER_299	2	-0.063198617
				DLBCL-MC_F606_DMJ	3			DLBCL-RICOVER_325	2	0.218541906
				DLBCL-MC_F648_JKW	1			DLBCL-RICOVER_335	2	0.053482423
				DLBCL-MC_F729_MAN	2			DLBCL-RICOVER_401	2	0.035269547
				DLBCL-MC_F739_AMA3	2			DLBCL-RICOVER_496	2	0.101200142
				DLBCL-MC_F815_BAT	3			DLBCL-RICOVER_533	2	0.001353912
				DLBCL-MC_F886_EJH	0			DLBCL-RICOVER_623	2	0.087045838
				DLBCL-MC_F925_DLR	0			DLBCL-RICOVER_678	2	0.052210918
				DLBCL-MC_F927_JHS	3			DLBCL-RICOVER_780	2	-0.025484363
				DLBCL-MC_F959_ERM	2			DLBCL-RICOVER_787	2	0.079811475
				DLBCL-MC_F990_MNA	2			DLBCL-RICOVER_822	2	0.056674089
				DLBCL-RICOVER_1013	3			DLBCL-RICOVER_839	2	0.025640052
				DLBCL-RICOVER_1018	4			DLBCL-RICOVER_948	2	-0.03873793
				DLBCL-RICOVER_102	4			DFCIDL008	5	0.147204432
				DLBCL-RICOVER_1032	5			DLBCL-c_D_1104	5	-0.010299701
				DLBCL-RICOVER_1045	4			DLBCL-c_D_1105	5	0.08620637
				DLBCL-RICOVER_1046	3			DLBCL-c_D_1120	5	0.12158233
				DLBCL-RICOVER_105	5			DLBCL-c_D_1124	5	0.083031542
				DLBCL-RICOVER_1060	2			DLBCL-c_D_1125	5	-0.014963823
				DLBCL-RICOVER_1061	4			DLBCL-c_D_1140	5	0.051300057
				DLBCL-RICOVER_107	2			DLBCL-c_D_1142	5	-0.060165528
				DLBCL-RICOVER_1072	2			DLBCL-c_D_1144	5	0.174025847
				DLBCL-RICOVER_1081	4			DLBCL-c_D_1145	5	-0.134266495
				DLBCL-RICOVER_1106	5			DLBCL-c_D_1163	5	0.028379343
				DLBCL-RICOVER_111	3			DLBCL-c_D_1166	5	0.078417911
				DLBCL-RICOVER_1138	4			DLBCL-c_D_pair20	5	0.021484763
				DLBCL-RICOVER_1144	1			DLBCL-LS1304	5	0.125551543
				DLBCL-RICOVER_1150	1			DLBCL-LS148	5	-0.061079081
				DLBCL-RICOVER_1165	2			DLBCL-LS1546	5	0.136596763
				DLBCL-RICOVER_1169	2			DLBCL-LS1583	5	0.048337542
				DLBCL-RICOVER_1190	5			DLBCL-LS1683	5	0.080439548
				DLBCL-RICOVER_1192	5			DLBCL-LS2208	5	0.112324086
				DLBCL-RICOVER_1199	4			DLBCL-LS2596	5	-0.062028176
				DLBCL-RICOVER_120	1			DLBCL-LS3200	5	0.174480504
				DLBCL-RICOVER_1204	5			DLBCL-LS4085	5	0.071838315
				DLBCL-RICOVER_1210	2			DLBCL-MC_F089_MLB	5	0.074033489
				DLBCL-RICOVER_1219	5			DLBCL-MC_F339_JPS2	5	0.228749425
				DLBCL-RICOVER_1235	2			DLBCL-MC_F519_ALT	5	0.087661239
				DLBCL-RICOVER_1237	5			DLBCL-RICOVER_1032	5	0.060869756
				DLBCL-RICOVER_1247	4			DLBCL-RICOVER_105	5	0.13519746
				DLBCL-RICOVER_1248	5			DLBCL-RICOVER_1106	5	-0.025608652
				DLBCL-RICOVER_1257	5			DLBCL-RICOVER_1190	5	0.083484743
				DLBCL-RICOVER_126	2			DLBCL-RICOVER_1192	5	0.171307387
				DLBCL-RICOVER_1263	3			DLBCL-RICOVER_1204	5	0.062141895
				DLBCL-RICOVER_1269	3			DLBCL-RICOVER_1219	5	0.132648415
				DLBCL-RICOVER_1278	5			DLBCL-RICOVER_1237	5	0.016036292
				DLBCL-RICOVER_1283	3			DLBCL-RICOVER_1248	5	0.078520793
				DLBCL-RICOVER_1287	5			DLBCL-RICOVER_1257	5	0.118081828
				DLBCL-RICOVER_1289	5			DLBCL-RICOVER_1278	5	0.052333818
				DLBCL-RICOVER_1293	5			DLBCL-RICOVER_1287	5	0.00187822
				DLBCL-RICOVER_1299	4			DLBCL-RICOVER_1289	5	0.067382121
				DLBCL-RICOVER_1329	5			DLBCL-RICOVER_1293	5	0.009578474
				DLBCL-RICOVER_134	5			DLBCL-RICOVER_1329	5	-0.058162253
				DLBCL-RICOVER_147	0			DLBCL-RICOVER_134	5	0.114346412
				DLBCL-RICOVER_148	4			DLBCL-RICOVER_150	5	0.138588659
				DLBCL-RICOVER_150	5			DLBCL-RICOVER_173	5	0.094493067
				DLBCL-RICOVER_151	4			DLBCL-RICOVER_215	5	0.005700422
				DLBCL-RICOVER_173	5			DLBCL-RICOVER_221	5	-0.069108564
				DLBCL-RICOVER_174	2			DLBCL-RICOVER_224	5	0.182826021
				DLBCL-RICOVER_181	1			DLBCL-RICOVER_314	5	0.183515785
				DLBCL-RICOVER_197	3			DLBCL-RICOVER_417	5	0.025984401
				DLBCL-RICOVER_208	3			DLBCL-RICOVER_431	5	0.100714086
				DLBCL-RICOVER_215	5			DLBCL-RICOVER_449	5	0.170020742
				DLBCL-RICOVER_216	3			DLBCL-RICOVER_467	5	-0.115913749
				DLBCL-RICOVER_221	5			DLBCL-RICOVER_506	5	0.015692455
				DLBCL-RICOVER_224	5			DLBCL-RICOVER_543	5	-0.008443172
				DLBCL-RICOVER_253	2			DLBCL-RICOVER_583	5	0.139825938
				DLBCL-RICOVER_258	1			DLBCL-RICOVER_585	5	0.040595958
				DLBCL-RICOVER_266	2			DLBCL-RICOVER_685	5	0.087214991
				DLBCL-RICOVER_267	3			DLBCL-RICOVER_704	5	0.032468727
				DLBCL-RICOVER_269	3			DLBCL-RICOVER_712	5	0.03470865
				DLBCL-RICOVER_274	4			DLBCL-RICOVER_720	5	0.057255616
				DLBCL-RICOVER_288	2			DLBCL-RICOVER_763	5	0.083049852
				DLBCL-RICOVER_290	1			DLBCL-RICOVER_773	5	-0.094615869
				DLBCL-RICOVER_299	2			DLBCL-RICOVER_850	5	-0.032551961
				DLBCL-RICOVER_314	5			DLBCL-RICOVER_956	5	0.134435971
				DLBCL-RICOVER_320	3			DLBCL-RICOVER_99	5	0.141694188
				DLBCL-RICOVER_325	2			DLBCL-c_D_1103	4	0.119773985
				DLBCL-RICOVER_335	2			DLBCL-c_D_1107	4	0.060103386
				DLBCL-RICOVER_336	4			DLBCL-c_D_1109	4	0.067968403
				DLBCL-RICOVER_338	4			DLBCL-c_D_1121	4	0.072996711
				DLBCL-RICOVER_342	4			DLBCL-c_D_1138	4	0.056856361
				DLBCL-RICOVER_361	4			DLBCL-c_D_1139	4	0.252632881
				DLBCL-RICOVER_384	3			DLBCL-c_D_1148	4	0.066937549
				DLBCL-RICOVER_401	2			DLBCL-c_D_1150	4	-0.062308149
				DLBCL-RICOVER_408	4			DLBCL-c_D_1151	4	0.022215203
				DLBCL-RICOVER_417	5			DLBCL-c_D_1153	4	0.094289174
				DLBCL-RICOVER_431	5			DLBCL-c_D_1159	4	-0.115847478
				DLBCL-RICOVER_440	3			DLBCL-DFCI_DLBCL_Goe08	4	0.042645899
				DLBCL-RICOVER_449	5			DLBCL-LS1899	4	0.139794293
				DLBCL-RICOVER_451	1			DLBCL-LS2264	4	0.084907171
				DLBCL-RICOVER_463	3			DLBCL-LS2357	4	0.01812015
				DLBCL-RICOVER_467	5			DLBCL-LS2590	4	0.045507602
				DLBCL-RICOVER_469	3			DLBCL-LS3271	4	0.072574902
				DLBCL-RICOVER_473	1			DLBCL-LS3387	4	0.061288442
				DLBCL-RICOVER_478	1			DLBCL-LS3499	4	-0.072605185
				DLBCL-RICOVER_496	2			DLBCL-LS3808	4	0.065732637
				DLBCL-RICOVER_506	5			DLBCL-LS951	4	0.058156712
				DLBCL-RICOVER_522	4			DLBCL-MAYO_DLBCL_3653	4	0.021318463
				DLBCL-RICOVER_533	2			DLBCL-MC_F139_LJF	4	0.148080174
				DLBCL-RICOVER_543	5			DLBCL-MC_F218_RAP	4	0.061847692
				DLBCL-RICOVER_554	4			DLBCL-RICOVER_1018	4	0.150844286
				DLBCL-RICOVER_575	1			DLBCL-RICOVER_102	4	0.059294223
				DLBCL-RICOVER_577	3			DLBCL-RICOVER_1045	4	0.083718598
				DLBCL-RICOVER_583	5			DLBCL-RICOVER_1061	4	-0.033496508
				DLBCL-RICOVER_585	5			DLBCL-RICOVER_1081	4	0.102593234
				DLBCL-RICOVER_597	4			DLBCL-RICOVER_1138	4	0.063522106
				DLBCL-RICOVER_617	4			DLBCL-RICOVER_1199	4	0.229176066
				DLBCL-RICOVER_623	2			DLBCL-RICOVER_1247	4	0.095850087
				DLBCL-RICOVER_632	0			DLBCL-RICOVER_1299	4	0.033646597
				DLBCL-RICOVER_678	2			DLBCL-RICOVER_148	4	0.01328296
				DLBCL-RICOVER_685	5			DLBCL-RICOVER_151	4	-0.000286727
				DLBCL-RICOVER_692	4			DLBCL-RICOVER_274	4	0.002162206
				DLBCL-RICOVER_694	1			DLBCL-RICOVER_336	4	0.057507224
				DLBCL-RICOVER_701	4			DLBCL-RICOVER_338	4	0.08750762
				DLBCL-RICOVER_704	5			DLBCL-RICOVER_342	4	0.120939962
				DLBCL-RICOVER_711	4			DLBCL-RICOVER_361	4	0.124822485
				DLBCL-RICOVER_712	5			DLBCL-RICOVER_408	4	0.100589676
				DLBCL-RICOVER_720	5			DLBCL-RICOVER_522	4	-0.12301222
				DLBCL-RICOVER_744	3			DLBCL-RICOVER_554	4	-0.020766112
				DLBCL-RICOVER_763	5			DLBCL-RICOVER_597	4	0.006867876
				DLBCL-RICOVER_773	5			DLBCL-RICOVER_617	4	0.013409674
				DLBCL-RICOVER_780	2			DLBCL-RICOVER_692	4	0.056905291
				DLBCL-RICOVER_787	2			DLBCL-RICOVER_701	4	0.146376165
				DLBCL-RICOVER_822	2			DLBCL-RICOVER_711	4	0.135249888
				DLBCL-RICOVER_826	1			DLBCL-RICOVER_866	4	0.004700221
				DLBCL-RICOVER_829	1			DLBCL-RICOVER_950	4	0.071727795
				DLBCL-RICOVER_839	2			DLBCL-RICOVER_985	4	0.161155417
				DLBCL-RICOVER_850	5					
				DLBCL-RICOVER_865	1					
				DLBCL-RICOVER_866	4					
				DLBCL-RICOVER_910	1					
				DLBCL-RICOVER_945	1					
				DLBCL-RICOVER_948	2					
				DLBCL-RICOVER_950	4					
				DLBCL-RICOVER_956	5					
				DLBCL-RICOVER_977	1					
				DLBCL-RICOVER_978	3					
				DLBCL-RICOVER_985	4					
				DLBCL-RICOVER_99	5					
