	C1	C2	C3	C4	C5	cluster	confidence
DLBCL10971	0.5596199400336309	0.39210962173502356	0.0014293598434496923	0.006233219094636622	0.04060785929325932	1	0.5596199400336309
DLBCL_C_D_1148_NULLPAIR	0.5072897454967752	0.000950996260476902	0.008482800021379761	0.4830097503950199	0.00026670782634834227	1	0.5072897454967752
DLBCL_LS3866	0.5072569537464712	0.0006429940791086164	0.0008047490454376083	0.49005554597151446	0.0012397571574681333	1	0.5072569537464712
DLBCL11523	0.4762014999647216	0.004201179827889765	0.003952935936974835	0.3905900240163214	0.12505436025409242	1	0.4762014999647216
DLBCL_RICOVER_338	0.47256603938326674	0.026914361879610927	0.03293452628335343	0.4429960595618886	0.02458901289188013	1	0.47256603938326674
DLBCL_C_D_1119_NULLPAIR	0.0004073701395868892	0.9961114001827356	0.0013324433191252369	0.00043425351342207797	0.0017145328451302403	2	0.9961114001827356
DLBCL_C_D_1136_NULLPAIR	0.0001164346411230688	0.9960161216772221	0.0015582159815798054	0.0004132792190700163	0.0018959484810049361	2	0.9960161216772221
DLBCL_RICOVER_496	0.00011373833989301662	0.9959617457720714	0.0018757262442990312	0.0004203955883431278	0.0016283940553934162	2	0.9959617457720714
DLBCL10988	8.56820257943264e-05	0.995915584273101	0.0010207007438839814	0.00038627204620702904	0.002591760911013884	2	0.995915584273101
DLBCL11498	0.00017806116504126405	0.9958615488322965	0.001781037912081591	0.00038010789254758063	0.0017992441980330379	2	0.9958615488322965
DLBCL_LS3749	0.00014239713216452187	0.995855209050631	0.00197242930419031	0.0004198124763514153	0.001610152036662823	2	0.995855209050631
DLBCL10480	0.00011553338272858836	0.9958311572580192	0.0015347762845580497	0.0003941232098130748	0.002124409864880938	2	0.9958311572580192
DLBCL11577	0.00011304269638047861	0.9958070334482807	0.002254966105037672	0.0004186321557954923	0.001406325594505653	2	0.9958070334482807
DLBCL10484	0.00017715091531865116	0.9958032943635818	0.0020834988395575156	0.0004615670469139732	0.001474488834627906	2	0.9958032943635818
DLBCL10473	0.0001400325006401424	0.9957761940400024	0.0019185830646843217	0.0004594328992652393	0.0017057574954078198	2	0.9957761940400024
DLBCL11438	8.13246466096298e-05	0.995730861822903	0.0017791705909807724	0.0003764167930583565	0.0020322261464482297	2	0.995730861822903
DLBCL11579	0.00021465597101892885	0.9957270796220983	0.002139507419449541	0.00044968191095067693	0.0014690750764825365	2	0.9957270796220983
DLBCL_C_D_1135_NULLPAIR	0.00016966627537510264	0.9957094001590896	0.0013780001462646149	0.0003970680690107845	0.0023458653502599204	2	0.9957094001590896
DLBCL10510	8.490844756712337e-05	0.9956882597332426	0.0010017541667288626	0.0003677667918611174	0.0028573108606001906	2	0.9956882597332426
DLBCL_LS88	8.485263687812637e-05	0.995684681893282	0.001478849461284924	0.00036201340517343116	0.002389602603381426	2	0.995684681893282
DLBCL10834	7.75086496537996e-05	0.9956776184535056	0.0020809238538628	0.00038268489024977055	0.0017812641527279775	2	0.9956776184535056
DLBCL10477	0.0001389985484783621	0.9956464750124014	0.0010900073597568073	0.00033331499440009886	0.002791204084963283	2	0.9956464750124014
DLBCL10922	0.0001417664757734943	0.9956459845818657	0.0012914096665498332	0.0003438424274532452	0.0025769968483578126	2	0.9956459845818657
DLBCL11565	7.279531998314889e-05	0.9956447607993651	0.0021061260462062305	0.00040279937560245925	0.0017735184588430564	2	0.9956447607993651
