	coverage_mean	coverage_median
DLBCL_C_D_1146_NULLPAIR	80.79521276595744	66.5
DLBCL_C_D_1147_NULLPAIR	40.5	31.5
DLBCL_C_D_1148_NULLPAIR	69.1606557377049	60.0
DLBCL_C_D_1149_NULLPAIR	71.23931623931624	48.0
DLBCL_C_D_1150_NULLPAIR	103.41984732824429	87.0
DLBCL_C_D_1151_NULLPAIR	75.03308823529412	57.5
DLBCL_C_D_1152_NULLPAIR	71.53260869565217	53.5
DLBCL_C_D_1153_NULLPAIR	92.4	74.0
DLBCL_C_D_1154_NULLPAIR	110.24528301886794	78.5
DLBCL_C_D_1155_NULLPAIR	68.19047619047619	55.5
DLBCL_C_D_1156_NULLPAIR	85.96	73.0
DLBCL_C_D_1157_NULLPAIR	120.27118644067795	100.0
DLBCL_C_D_1158_NULLPAIR	73.07384615384616	62.0
DLBCL_C_D_1159_NULLPAIR	69.2506329113924	61.0
DLBCL_C_D_1162_NULLPAIR	82.44984802431611	66.0
DLBCL_C_D_1163_NULLPAIR	72.82882882882883	58.0
DLBCL_C_D_1166_NULLPAIR	56.050279329608934	42.0
DLBCL_C_D_PAIR13	112.97590361445783	79.0
DLBCL_C_D_PAIR2	84.76666666666667	53.0
DLBCL_C_D_PAIR20	61.66993464052288	47.0
DLBCL_C_D_PAIR22	177.6986301369863	151.0
DLBCL_C_D_PAIR23	90.32773109243698	73.0
DLBCL_C_D_PAIR5	67.60714285714286	53.0
DLBCL_C_D_PAIR9	139.53086419753086	71.0
DFCIDL001_DT	72.01960784313725	58.0
DFCIDL002_DT	64.71428571428571	70.0
DFCIDL003_DT	69.43349753694581	54.0
DFCIDL004_DT	124.68376068376068	109.0
DFCIDL007_DT	76.28571428571429	62.0
DFCIDL010_DT	76.02649006622515	63.0
DLBCL10874	121.31007751937985	112.0
DLBCL10455	104.45783132530121	90.5
DLBCL10503	137.5	133.5
DLBCL11242	157.60146699266502	143.0
DLBCL10850	137.25882352941179	115.5
DLBCL11573	185.0	176.0
DLBCL11181	99.88571428571429	93.0
DLBCL11431	138.4948979591837	130.5
DLBCL10875	124.51904761904764	103.5
DLBCL10935	179.9409090909091	163.0
DLBCL11470	139.6936936936937	127.0
DLBCL11511	111.85984848484848	105.0
DLBCL10960	93.46551724137932	87.0
DLBCL11678	169.69461077844312	161.0
DLBCL11680	134.53459119496856	122.0
DLBCL10897	118.71264367816092	107.0
DLBCL11437	76.43544857768053	71.0
DLBCL11685	148.01293103448273	130.0
DLBCL10925	126.60580912863071	112.0
DLBCL10942	114.83404255319151	110.0
DLBCL11578	116.18620689655172	104.0
DLBCL10928	156.70976253298153	132.0
DLBCL10539	125.83809523809522	120.0
DLBCL11659	87.81447963800905	79.0
DLBCL11540	172.71779141104298	160.0
DLBCL10470	150.1596958174905	138.0
DLBCL10549	100.22815533980581	97.0
DLBCL10504	110.42214532871971	102.0
DLBCL10564	143.11160714285714	122.5
DLBCL10530	131.3245283018868	110.0
DLBCL10467	134.53617021276597	123.0
DLBCL11576	146.01209677419354	134.0
DLBCL11477	104.96026490066222	94.0
DLBCL11000	127.30337078651684	112.5
DLBCL10462	110.00248138957815	98.0
DLBCL11651	138.71875	128.0
DLBCL11679	166.04979253112037	152.0
DLBCL10555	208.90094339622644	210.0
DLBCL10487	106.80733944954129	93.0
DLBCL10516	125.43617021276596	113.0
DLBCL11002	85.56170212765956	81.0
DLBCL10780	130.63492063492063	118.0
DLBCL10494	166.4102564102564	139.0
DLBCL10912	175.83006535947712	147.0
DLBCL10936	96.44915254237287	90.0
DLBCL11435	186.3967391304348	169.5
DLBCL10846	116.98888888888891	108.5
DLBCL10920	131.61009174311926	119.0
DLBCL10851	116.64467005076142	105.0
DLBCL10905	95.48245614035088	87.0
DLBCL11569	150.44559585492232	137.0
DLBCL11491	158.28725314183126	144.0
DLBCL10520	135.93650793650792	123.0
DLBCL11587	90.66956521739132	84.0
DLBCL11429	103.20991253644316	90.0
DLBCL11464	137.71159029649596	119.0
DLBCL11206	115.40837696335079	104.0
DLBCL10545	178.76881720430111	176.5
DLBCL10994	120.26241134751771	108.0
DLBCL11501	188.56598240469208	168.0
DLBCL11660	149.82386363636363	139.0
DLBCL11458	160.36666666666667	136.0
DLBCL10975	112.79611650485435	97.0
DLBCL11515	108.77435897435898	94.0
DLBCL11467	94.34083601286173	85.0
DLBCL10509	82.56666666666666	72.0
DLBCL10540	149.5075376884422	130.0
DLBCL10857	105.72935779816515	97.5
DLBCL10924	111.04672897196262	101.0
DLBCL11187	103.59633027522936	90.0
DLBCL11518	102.70984455958548	92.0
DLBCL10993	112.20238095238096	101.0
DLBCL10471	81.51572327044025	72.0
DLBCL10502	162.5072463768116	144.0
DLBCL10506	126.31086142322096	111.0
DLBCL10453	147.5284090909091	133.0
DLBCL10986	126.0949074074074	104.0
DLBCL10891	80.36501901140684	67.0
DLBCL10921	142.09947643979058	123.0
DLBCL11536	131.0721649484536	113.5
DLBCL10940	112.63709677419355	103.5
DLBCL11193	139.4245283018868	122.0
DLBCL10947	127.4908256880734	117.5
DLBCL10996	123.86382978723404	105.0
DLBCL10980	110.2822966507177	96.0
DLBCL10474	116.23563218390804	99.0
DLBCL11208	109.54589371980677	98.0
DLBCL10984	88.4955357142857	83.0
DLBCL10566	85.83838383838383	72.0
DLBCL11443	91.76208178438661	84.0
DLBCL10782	156.3934065934066	136.0
DLBCL10531	88.16015625	79.5
DLBCL10938	108.17534246575345	97.0
DLBCL11481	77.06532663316581	66.0
DLBCL10922	93.60352422907488	88.0
DLBCL11480	91.33160621761658	81.0
DLBCL11428	134.4701754385965	122.0
DLBCL10849	100.3	87.5
DLBCL10552	166.62013729977116	152.0
DLBCL10911	155.7319587628866	148.5
DLBCL11572	132.4471544715447	128.5
DLBCL10964	138.4576923076923	121.0
DLBCL10479	115.820987654321	110.0
DLBCL11001	148.3762376237624	132.5
DLBCL10522	177.44137931034481	151.0
DLBCL11664	113.3768115942029	106.0
DLBCL11451	100.5889570552147	83.0
DLBCL11683	135.94890510948906	124.5
DLBCL10894	99.53968253968254	92.5
DLBCL11441	114.50279329608938	106.0
DLBCL11590	120.8477157360406	111.5
DLBCL10967	123.94634146341465	112.0
DLBCL11537	146.08896797153025	133.0
DLBCL10903	123.42758620689655	111.0
DLBCL10954	189.7357142857143	166.0
DLBCL10478	143.0858039215686	132.0
DLBCL10970	121.46496815286623	105.0
DLBCL11461	87.1822429906542	81.0
DLBCL11595	127.25700934579442	108.0
DLBCL11514	148.78861788617888	126.5
DLBCL11525	174.74747474747474	167.0
DLBCL10888	84.90229885057471	79.0
DLBCL10477	81.67424242424242	74.0
DLBCL10837	107.07803790412486	95.0
DLBCL11004	126.27601809954751	113.0
DLBCL10466	129.4765625	116.5
DLBCL10923	92.07920792079209	80.0
DLBCL10486	116.55421686746989	105.0
DLBCL10501	140.0909090909091	120.5
DLBCL10930	135.17477477477476	123.0
DLBCL10853	108.63861386138613	95.0
DLBCL11449	106.39655172413794	95.0
DLBCL10845	106.23863636363636	93.5
DLBCL10524	129.5060827250608	117.0
DLBCL11577	152.87037037037038	133.5
DLBCL10547	169.5220338983051	150.0
DLBCL10926	96.88118811881188	88.0
DLBCL10943	191.3475935828877	168.0
DLBCL11516	100.2462311557789	90.0
DLBCL10933	244.0281690140845	220.0
DLBCL11191	105.82368421052631	85.0
DLBCL10998	114.98432601880876	105.0
DLBCL10843	120.37022900763357	109.0
DLBCL10510	157.05853658536586	144.0
DLBCL11571	130.55434782608697	114.0
DLBCL11559	167.8138528138528	155.0
DLBCL11500	181.12142857142857	160.0
DLBCL10508	103.45081967213116	93.5
DLBCL10917	147.05597014925374	124.0
DLBCL11656	135.48614609571786	123.0
DLBCL11469	86.96666666666668	80.0
DLBCL10867	145.93401015228423	139.0
DLBCL11438	82.28853754940711	72.0
DLBCL10898	112.28497409326424	104.0
DLBCL10913	116.8867924528302	110.0
DLBCL11353	142.73184357541902	123.0
DLBCL10873	130.53380782918148	114.0
DLBCL10981	116.376	102.0
DLBCL10518	97.02631578947368	84.0
DLBCL11486	92.17534246575345	77.0
DLBCL10536	125.46524064171123	120.0
DLBCL10971	117.3	105.5
DLBCL10887	133.2126436781609	121.0
DLBCL10507	119.86407766990291	95.5
DLBCL11466	119.61627906976744	107.5
