addInFraction	accuracyAll	accuracyTop	Kappa	Performance	meanconfidence	stdconfidence	lowerAccuracy	upperAccuracy	lowerKappa	upperKappa	lowerPerformance	upperPerformance	sv_count_total	sv_count_added	mut_count_total	mut_count_added	amp_count_total	amp_count_added	del_count_total	del_count_added
0.5	0.18727272727272729	0.19480519480519481	0.5191890544470845	0.21472771010405858	0.6324038694974872	0.13990546128029083	0.1717750966585809	0.20503742677642578	0.5137997342978667	0.5245783745963023	0.1967513288132503	0.23529388595574463	957.0	720.0	29696.0	24780.0	9950.0	7154.0	9351.0	7041.0
0.55	0.1781818181818182	0.2051948051948052	0.5127366036360038	0.20492392259667294	0.6423436704344747	0.13417903693477537	0.16303281332747008	0.19566380305136355	0.5098602375616464	0.5156129697103612	0.18740597424707378	0.22512825385547197	1001.0	764.0	32092.0	27176.0	10628.0	7832.0	10066.0	7756.0
0.6	0.15636363636363637	0.17662337662337663	0.5102373800641057	0.18154574807671278	0.646853869001549	0.12372699675110348	0.1421166804948624	0.1731017650320903	0.506037162809372	0.5144375973188393	0.16489169391297792	0.2010889836499934	1072.0	835.0	34692.0	29776.0	11335.0	8539.0	10857.0	8547.0
0.65	0.1509090909090909	0.16363636363636364	0.5098230959166884	0.17563895564481197	0.6516277331970207	0.11431569735550624	0.136903350756835	0.16744555372281456	0.5055608211753632	0.5140853706580136	0.15923000207166887	0.1949897444281624	1170.0	933.0	37259.0	32343.0	12091.0	9295.0	11519.0	9209.0
0.7	0.14181818181818182	0.15844155844155844	0.5040974761176051	0.1656239451059429	0.6639543811241347	0.1033596112785344	0.1282297878590703	0.15800321673467566	0.5029868967066039	0.5052080555286064	0.14971594940294014	0.18457028901939765	1256.0	1019.0	39748.0	34832.0	12833.0	10037.0	12183.0	9873.0
0.75	0.13818181818181818	0.16363636363636364	0.5044201057111413	0.16165617173536606	0.6717822739601196	0.09203215728287809	0.12476600391791653	0.1542206414576246	0.5031895486701291	0.5056506627521534	0.14592385559483048	0.1804625384965013	1310.0	1073.0	42141.0	37225.0	13507.0	10711.0	12893.0	10583.0
0.8	0.14	0.15324675324675324	0.5061335110522143	0.1636811667085815	0.6755881960782527	0.08661855235778956	0.12649748012827142	0.1561123447997108	0.5040416690765869	0.5082253530278417	0.14784644554852389	0.18257107547054424	1368.0	1131.0	44620.0	39704.0	14170.0	11374.0	13663.0	11353.0
0.85	0.13818181818181818	0.15584415584415584	0.5067755986336197	0.1617043462888539	0.6742534949349179	0.07869689858480773	0.12476600391791653	0.1542206414576246	0.5041795234800035	0.5093716737872358	0.14594984979996753	0.1805308524685484	1455.0	1218.0	47176.0	42260.0	14872.0	12076.0	14355.0	12045.0
0.9	0.13636363636363635	0.15064935064935064	0.503245982397274	0.15964019321989914	0.6818790928069844	0.062392042433357366	0.12303537287387334	0.15232809306705564	0.5021385337486863	0.5043534310458617	0.14400133098768794	0.17837075072178804	1511.0	1274.0	49586.0	44670.0	15671.0	12875.0	15065.0	12755.0
0.95	0.13636363636363635	0.15064935064935064	0.5037765627637382	0.15965086105774393	0.6887185397922239	0.048275606474410475	0.12303537287387334	0.15232809306705564	0.502608957640492	0.5049441678869844	0.1440105607881536	0.1783829759068596	1579.0	1342.0	51986.0	47070.0	16333.0	13537.0	15782.0	13472.0
1.0	0.13636363636363635	0.12987012987012986	0.5051947362523354	0.1596792717876104	0.6912079394770343	0.03309643636339502	0.12303537287387334	0.15232809306705564	0.5028138087313168	0.507575663773354	0.1440218824019763	0.17842660678313657	1650.0	1413.0	54450.0	49534.0	17050.0	14254.0	16500.0	14190.0
