gene	cluster	q	p	overall_frequency	C1_nf	C2_nf	C3_nf	C4_nf	C5_nf	C1_f	C2_f	C3_f	C4_f	C5_f	C1_mut	C1_wt	C2_mut	C2_wt	C3_mut	C3_wt	C4_mut	C4_wt	C5_mut	C5_wt	C1_sum	C2_sum	C3_sum	C4_sum	C5_sum
GNAI2	C1	3.5732976003573306e-05	9.99990000099999e-06	0.06545454545454545	0.4166666666666667	0.055555555555555566	0.36111111111111116	0.11111111111111113	0.055555555555555566	0.02727272727272727	0.0036363636363636364	0.023636363636363636	0.007272727272727273	0.0036363636363636364	15	101	2	122	13	82	4	73	2	136	30	4	24	8	3
FAS	C1	6.784742279159487e-05	1.999980000199998e-05	0.09636363636363637	0.43396226415094336	0.11320754716981132	0.20754716981132074	0.18867924528301883	0.05660377358490566	0.04181818181818182	0.01090909090909091	0.02	0.01818181818181818	0.005454545454545455	23	93	6	118	11	84	10	67	3	135	46	12	22	20	6
ZEB2	C1	6.784742279159487e-05	1.999980000199998e-05	0.06909090909090909	0.4736842105263158	0.2368421052631579	0.05263157894736842	0.21052631578947367	0.02631578947368421	0.03272727272727273	0.016363636363636365	0.0036363636363636364	0.014545454545454545	0.0018181818181818182	18	98	9	115	2	93	8	69	1	137	34	16	4	16	2
BCL7A	C1	0.00013073040001307306	3.999960000399996e-05	0.09636363636363636	0.339622641509434	0.07547169811320754	0.20754716981132076	0.2830188679245283	0.09433962264150943	0.03272727272727273	0.007272727272727273	0.02	0.02727272727272727	0.00909090909090909	18	98	4	120	11	84	15	62	5	133	32	8	22	30	9
EBF1	C1	0.00030112058429977495	9.99990000099999e-05	0.10363636363636364	0.3508771929824561	0.19298245614035087	0.15789473684210528	0.2456140350877193	0.052631578947368425	0.03636363636363636	0.02	0.016363636363636365	0.025454545454545455	0.005454545454545455	20	96	11	113	9	86	14	63	3	135	39	21	18	27	5
TMEM30A	C1	0.0003828533143239996	0.00012999870001299986	0.07636363636363637	0.5238095238095237	0.09523809523809523	0.14285714285714285	0.047619047619047616	0.19047619047619047	0.04	0.007272727272727273	0.01090909090909091	0.0036363636363636364	0.014545454545454545	22	94	4	120	6	89	2	75	8	130	44	8	12	4	16
SPEN	C1	0.0012641383020132065	0.0004999950000499995	0.10545454545454547	0.44827586206896547	0.20689655172413793	0.08620689655172413	0.08620689655172413	0.17241379310344826	0.04727272727272727	0.02181818181818182	0.00909090909090909	0.00909090909090909	0.01818181818181818	26	90	12	112	5	90	5	72	10	128	49	23	9	9	19
NFKBIE	C1	0.0014026027964019426	0.0005599944000559995	0.049090909090909095	0.4444444444444444	0.07407407407407407	0.037037037037037035	0.2962962962962963	0.14814814814814814	0.02181818181818182	0.0036363636363636364	0.0018181818181818182	0.014545454545454545	0.007272727272727273	12	104	2	122	1	94	8	69	4	134	23	4	2	16	7
BCL6	C1	0.0017456706166883284	0.0007099929000709993	0.07818181818181819	0.4418604651162791	0.06976744186046512	0.20930232558139536	0.13953488372093023	0.13953488372093023	0.034545454545454546	0.005454545454545455	0.016363636363636365	0.01090909090909091	0.01090909090909091	19	97	3	121	9	86	6	71	6	132	38	6	18	12	11
FADD	C1	0.0030796183266237516	0.0013099869001309988	0.027272727272727275	0.6	0.0	0.13333333333333333	0.2	0.06666666666666667	0.016363636363636365	0.0	0.0036363636363636364	0.005454545454545455	0.0018181818181818182	9	107	0	124	2	93	3	74	1	137	18	0	4	6	2
CXCR4	C1	0.004751885254256702	0.002109978900210998	0.03272727272727272	0.38888888888888895	0.055555555555555566	0.11111111111111113	0.38888888888888895	0.055555555555555566	0.012727272727272728	0.0018181818181818182	0.0036363636363636364	0.012727272727272728	0.0018181818181818182	7	109	1	123	2	93	7	70	1	137	14	2	4	14	2
IKZF3	C1	0.0052086575908434464	0.0024099759002409976	0.04909090909090909	0.4814814814814815	0.07407407407407408	0.07407407407407408	0.03703703703703704	0.33333333333333337	0.023636363636363636	0.0036363636363636364	0.0036363636363636364	0.0018181818181818182	0.016363636363636365	13	103	2	122	2	93	1	76	9	129	25	4	4	2	17
TNIP1	C1	0.014266323502178513	0.007079929200707993	0.030909090909090907	0.5882352941176471	0.17647058823529416	0.11764705882352942	0.0	0.11764705882352942	0.01818181818181818	0.005454545454545455	0.0036363636363636364	0.0	0.0036363636363636364	10	106	3	121	2	93	0	77	2	136	20	6	4	0	4
POU2F2	C1	0.024383981512297554	0.012889871101288987	0.061818181818181814	0.3529411764705883	0.029411764705882356	0.17647058823529416	0.11764705882352942	0.3235294117647059	0.02181818181818182	0.0018181818181818182	0.01090909090909091	0.007272727272727273	0.02	12	104	1	123	6	89	4	73	11	127	24	2	12	7	20
SMG7	C1	0.024383981512297554	0.012919870801291988	0.03090909090909091	0.47058823529411764	0.058823529411764705	0.2941176470588235	0.11764705882352941	0.058823529411764705	0.014545454545454545	0.0018181818181818182	0.00909090909090909	0.0036363636363636364	0.0018181818181818182	8	108	1	123	5	90	2	75	1	137	15	1	10	4	2
LYN	C1	0.028232773227823277	0.015169848301516985	0.034545454545454546	0.42105263157894735	0.10526315789473684	0.05263157894736842	0.0	0.42105263157894735	0.014545454545454545	0.0036363636363636364	0.0018181818181818182	0.0	0.014545454545454545	8	108	2	122	1	94	0	77	8	130	16	3	2	0	16
TUBGCP5	C1	0.02846316364422563	0.015399846001539985	0.04727272727272727	0.46153846153846156	0.1923076923076923	0.038461538461538464	0.038461538461538464	0.2692307692307692	0.02181818181818182	0.00909090909090909	0.0018181818181818182	0.0018181818181818182	0.012727272727272728	12	104	5	119	1	94	1	76	7	131	21	9	2	1	13
MYD88.OTHER	C1	0.03790510040105078	0.02064979350206498	0.1090909090909091	0.35	0.2	0.11666666666666665	0.05	0.2833333333333333	0.038181818181818185	0.02181818181818182	0.012727272727272728	0.005454545454545455	0.03090909090909091	21	95	12	112	7	88	3	74	17	121	42	24	14	6	33
CCDC27	C1	0.057928651482715934	0.033719662803371964	0.01818181818181818	0.6000000000000001	0.1	0.0	0.0	0.30000000000000004	0.01090909090909091	0.0018181818181818182	0.0	0.0	0.005454545454545455	6	110	1	123	0	95	0	77	3	135	11	2	0	0	6
ETS1	C1	0.0780075743546362	0.04598954010459896	0.07454545454545454	0.2682926829268293	0.07317073170731708	0.14634146341463417	0.24390243902439024	0.2682926829268293	0.02	0.005454545454545455	0.01090909090909091	0.01818181818181818	0.02	11	105	3	121	6	89	10	67	11	127	22	6	11	20	21
RHOA	C1	0.09439831067527835	0.056709432905670945	0.04363636363636363	0.4166666666666667	0.08333333333333334	0.20833333333333334	0.16666666666666669	0.12500000000000003	0.01818181818181818	0.0036363636363636364	0.00909090909090909	0.007272727272727273	0.005454545454545455	10	106	2	122	5	90	4	73	3	135	19	4	10	8	6
CCND3	C1	0.115189823711519	0.07048929510704893	0.08363636363636365	0.3913043478260869	0.19565217391304346	0.13043478260869565	0.08695652173913042	0.19565217391304346	0.03272727272727273	0.016363636363636365	0.01090909090909091	0.007272727272727273	0.016363636363636365	18	98	9	115	6	89	4	73	9	129	36	18	12	8	18
TRAF6	C1	0.16835529319125414	0.10804891951080489	0.02	0.5454545454545455	0.09090909090909091	0.18181818181818182	0.0	0.18181818181818182	0.01090909090909091	0.0018181818181818182	0.0036363636363636364	0.0	0.0036363636363636364	6	110	1	123	2	93	0	77	2	136	12	2	3	0	4
ARHGEF6	C1	0.17822596340510583	0.11504884951150489	0.02	0.36363636363636365	0.0	0.36363636363636365	0.09090909090909091	0.18181818181818182	0.007272727272727273	0.0	0.007272727272727273	0.0018181818181818182	0.0036363636363636364	4	112	0	124	4	91	1	76	2	136	7	0	8	2	4
CIITA	C1	0.18242300335617334	0.11843881561184388	0.06181818181818182	0.3235294117647059	0.14705882352941174	0.23529411764705882	0.17647058823529413	0.11764705882352941	0.02	0.00909090909090909	0.014545454545454545	0.01090909090909091	0.007272727272727273	11	105	5	119	8	87	6	71	4	134	21	9	15	11	7
MSL2	C1	0.2116430232345721	0.14135858641413585	0.021818181818181816	0.33333333333333337	0.16666666666666669	0.0	0.33333333333333337	0.16666666666666669	0.007272727272727273	0.0036363636363636364	0.0	0.007272727272727273	0.0036363636363636364	4	112	2	122	0	95	4	73	2	136	8	4	0	8	3
CTSE	C1	0.21707782922170774	0.14579854201457984	0.02181818181818182	0.3333333333333333	0.0	0.08333333333333333	0.25	0.3333333333333333	0.007272727272727273	0.0	0.0018181818181818182	0.005454545454545455	0.007272727272727273	4	112	0	124	1	94	3	74	4	134	8	0	2	6	8
GRB2	C1	0.2228917601534367	0.15219847801521985	0.02727272727272727	0.3333333333333333	0.0	0.20000000000000004	0.13333333333333333	0.3333333333333333	0.00909090909090909	0.0	0.005454545454545455	0.0036363636363636364	0.00909090909090909	5	111	0	124	3	92	2	75	5	133	10	0	6	3	10
CXCR5	C1	0.2406386631320853	0.16790832091679084	0.034545454545454546	0.368421052631579	0.10526315789473684	0.21052631578947367	0.21052631578947367	0.10526315789473684	0.012727272727272728	0.0036363636363636364	0.007272727272727273	0.007272727272727273	0.0036363636363636364	7	109	2	122	4	91	4	73	2	136	13	4	8	7	4
FCRL3	C1	0.24399160263716513	0.17115828841711583	0.03636363636363637	0.39999999999999997	0.15	0.15	0.19999999999999998	0.09999999999999999	0.014545454545454545	0.005454545454545455	0.005454545454545455	0.007272727272727273	0.0036363636363636364	8	108	3	121	3	92	4	73	2	136	13	5	6	7	4
IL6	C1	0.25025645576877564	0.1792882071179288	0.025454545454545452	0.35714285714285715	0.35714285714285715	0.0	0.14285714285714288	0.14285714285714288	0.00909090909090909	0.00909090909090909	0.0	0.0036363636363636364	0.0036363636363636364	5	111	5	119	0	95	2	75	2	136	10	10	0	3	4
CDKN2A	C1	0.2835357505010808	0.20947790522094778	0.052727272727272734	0.3103448275862069	0.0689655172413793	0.20689655172413793	0.1379310344827586	0.2758620689655172	0.016363636363636365	0.0036363636363636364	0.01090909090909091	0.007272727272727273	0.014545454545454545	9	107	2	122	6	89	4	73	8	130	18	4	12	6	16
SCN9A	C1	0.3002108672380613	0.22291777082229178	0.0890909090909091	0.26530612244897955	0.1020408163265306	0.2040816326530612	0.16326530612244897	0.26530612244897955	0.023636363636363636	0.00909090909090909	0.01818181818181818	0.014545454545454545	0.023636363636363636	13	103	5	119	10	85	8	69	13	125	25	9	19	14	24
CSF2RB	C1	0.33264835668475	0.2507274927250728	0.023636363636363636	0.3846153846153846	0.15384615384615385	0.07692307692307693	0.0	0.3846153846153846	0.00909090909090909	0.0036363636363636364	0.0018181818181818182	0.0	0.00909090909090909	5	111	2	122	1	94	0	77	5	133	8	4	1	0	7
DOCK1	C1	0.41087889590587656	0.32655673443265565	0.08727272727272728	0.3333333333333333	0.16666666666666666	0.16666666666666666	0.10416666666666666	0.22916666666666666	0.02909090909090909	0.014545454545454545	0.014545454545454545	0.00909090909090909	0.02	16	100	8	116	8	87	5	72	11	127	31	16	15	10	18
PRKCB	C1	0.41087889590587656	0.3263367366326337	0.041818181818181824	0.3913043478260869	0.13043478260869565	0.13043478260869565	0.08695652173913042	0.2608695652173913	0.016363636363636365	0.005454545454545455	0.005454545454545455	0.0036363636363636364	0.01090909090909091	9	107	3	121	3	92	2	75	6	132	18	5	5	4	12
ESX1	C1	0.4504076060156829	0.3638863611363886	0.034545454545454546	0.31578947368421056	0.15789473684210528	0.21052631578947367	0.21052631578947367	0.10526315789473684	0.01090909090909091	0.005454545454545455	0.007272727272727273	0.007272727272727273	0.0036363636363636364	6	110	3	121	4	91	4	73	2	136	11	6	8	7	4
RAB5B	C1	0.49199435278374487	0.4038759612403876	0.014545454545454545	0.37500000000000006	0.37500000000000006	0.0	0.0	0.25	0.005454545454545455	0.005454545454545455	0.0	0.0	0.0036363636363636364	3	113	3	121	0	95	0	77	2	136	6	6	0	0	4
C2ORF16	C1	0.4995686366006295	0.4156858431415686	0.03272727272727273	0.27777777777777773	0.05555555555555555	0.2222222222222222	0.16666666666666666	0.27777777777777773	0.00909090909090909	0.0018181818181818182	0.007272727272727273	0.005454545454545455	0.00909090909090909	5	111	1	123	4	91	3	74	5	133	10	2	7	5	10
C9ORF43	C1	0.5667555605145703	0.48216517834821654	0.02909090909090909	0.3125	0.25	0.18750000000000003	0.0	0.25	0.00909090909090909	0.007272727272727273	0.005454545454545455	0.0	0.007272727272727273	5	111	4	120	3	92	0	77	4	134	10	7	6	0	7
SIRT5	C1	0.5881429395313035	0.5025549744502555	0.021818181818181816	0.25000000000000006	0.08333333333333334	0.25000000000000006	0.25000000000000006	0.16666666666666669	0.005454545454545455	0.0018181818181818182	0.005454545454545455	0.005454545454545455	0.0036363636363636364	3	113	1	123	3	92	3	74	2	136	6	2	5	6	4
NAV1	C1	0.6136558547834434	0.5289347106528934	0.04727272727272727	0.3076923076923077	0.11538461538461539	0.15384615384615385	0.11538461538461539	0.3076923076923077	0.014545454545454545	0.005454545454545455	0.007272727272727273	0.005454545454545455	0.014545454545454545	8	108	3	121	4	91	3	74	8	130	14	5	8	6	13
INTS3	C1	0.6398378751255223	0.5586644133558665	0.012727272727272726	0.42857142857142866	0.28571428571428575	0.0	0.14285714285714288	0.14285714285714288	0.005454545454545455	0.0036363636363636364	0.0	0.0018181818181818182	0.0018181818181818182	3	113	2	122	0	95	1	76	1	137	4	3	0	2	2
ZNF217	C1	0.652494651524073	0.5755442445575544	0.019999999999999997	0.3636363636363637	0.09090909090909093	0.09090909090909093	0.09090909090909093	0.3636363636363637	0.007272727272727273	0.0018181818181818182	0.0018181818181818182	0.0018181818181818182	0.007272727272727273	4	112	1	123	1	94	1	76	4	134	8	2	2	2	6
ZNF444	C1	0.6733432665673343	0.6029939700602994	0.045454545454545456	0.28	0.12000000000000001	0.24000000000000002	0.12000000000000001	0.24000000000000002	0.012727272727272728	0.005454545454545455	0.01090909090909091	0.005454545454545455	0.01090909090909091	7	109	3	121	6	89	3	74	6	132	14	6	12	6	12
ALOX15	C1	0.6834817602237201	0.6171738282617174	0.020000000000000004	0.3636363636363636	0.2727272727272727	0.1818181818181818	0.0909090909090909	0.0909090909090909	0.007272727272727273	0.005454545454545455	0.0036363636363636364	0.0018181818181818182	0.0018181818181818182	4	112	3	121	2	93	1	76	1	137	8	6	4	2	2
C3ORF33	C1	0.7692065589465562	0.7089329106708933	0.016363636363636365	0.3333333333333333	0.2222222222222222	0.1111111111111111	0.2222222222222222	0.1111111111111111	0.005454545454545455	0.0036363636363636364	0.0018181818181818182	0.0036363636363636364	0.0018181818181818182	3	113	2	122	1	94	2	75	1	137	6	4	2	4	2
KAT6B	C1	0.850753238499361	0.7998320016799833	0.03272727272727273	0.27777777777777773	0.27777777777777773	0.1111111111111111	0.16666666666666666	0.16666666666666666	0.00909090909090909	0.00909090909090909	0.0036363636363636364	0.005454545454545455	0.005454545454545455	5	111	5	119	2	93	3	74	3	135	8	8	4	5	5
NLRP8	C1	0.8690890345998501	0.8264117358826412	0.03090909090909091	0.2941176470588235	0.17647058823529413	0.17647058823529413	0.058823529411764705	0.2941176470588235	0.00909090909090909	0.005454545454545455	0.005454545454545455	0.0018181818181818182	0.00909090909090909	5	111	3	121	3	92	1	76	5	133	10	5	5	2	9
GABRA2	C1	0.8692325576744233	0.8303116968830312	0.02727272727272727	0.26666666666666666	0.26666666666666666	0.20000000000000004	0.13333333333333333	0.13333333333333333	0.007272727272727273	0.007272727272727273	0.005454545454545455	0.0036363636363636364	0.0036363636363636364	4	112	4	120	3	92	2	75	2	136	7	7	4	4	4
HEATR5B	C1	0.8708035876839675	0.8350616493835061	0.027272727272727275	0.26666666666666666	0.13333333333333333	0.13333333333333333	0.2	0.26666666666666666	0.007272727272727273	0.0036363636363636364	0.0036363636363636364	0.005454545454545455	0.007272727272727273	4	112	2	122	2	93	3	74	4	134	6	4	4	6	7
UVRAG	C1	0.9751113175891141	0.953280467195328	0.014545454545454545	0.25	0.125	0.25	0.125	0.25	0.0036363636363636364	0.0018181818181818182	0.0036363636363636364	0.0018181818181818182	0.0036363636363636364	2	114	1	123	2	93	1	76	2	136	4	2	4	2	3
TMC1	C1	0.9876974994508609	0.969270307296927	0.02727272727272727	0.26666666666666666	0.26666666666666666	0.13333333333333333	0.13333333333333333	0.20000000000000004	0.007272727272727273	0.007272727272727273	0.0036363636363636364	0.0036363636363636364	0.005454545454545455	4	112	4	120	2	93	2	75	3	135	8	8	4	4	5
RNPS1	C1	0.9893332645620913	0.978920210797892	0.012727272727272726	0.28571428571428575	0.14285714285714288	0.14285714285714288	0.14285714285714288	0.28571428571428575	0.0036363636363636364	0.0018181818181818182	0.0018181818181818182	0.0018181818181818182	0.0036363636363636364	2	114	1	123	1	94	1	76	2	136	4	2	2	2	4
X17P.DEL	C2	3.5732976003573306e-05	9.99990000099999e-06	0.2490909090909091	0.072992700729927	0.5620437956204379	0.1094890510948905	0.06569343065693431	0.1897810218978102	0.01818181818181818	0.14	0.02727272727272727	0.016363636363636365	0.04727272727272727	10	106	77	47	15	80	9	68	26	112	10	80	17	9	26
TP53	C2	3.5732976003573306e-05	9.99990000099999e-06	0.22545454545454546	0.12903225806451613	0.5483870967741935	0.11290322580645161	0.10483870967741934	0.10483870967741934	0.02909090909090909	0.12363636363636364	0.025454545454545455	0.023636363636363636	0.023636363636363636	16	100	68	56	14	81	13	64	13	125	32	135	28	26	26
X15Q15.3.DEL	C2	3.5732976003573306e-05	9.99990000099999e-06	0.26	0.11888111888111888	0.40559440559440557	0.16083916083916083	0.10489510489510488	0.20979020979020976	0.03090909090909091	0.10545454545454545	0.04181818181818182	0.02727272727272727	0.05454545454545454	17	99	58	66	23	72	15	62	30	108	17	58	24	15	30
X6Q.DEL	C2	3.5732976003573306e-05	9.99990000099999e-06	0.27636363636363637	0.2236842105263158	0.34868421052631576	0.125	0.03947368421052632	0.2631578947368421	0.06181818181818182	0.09636363636363636	0.034545454545454546	0.01090909090909091	0.07272727272727272	34	82	53	71	19	76	6	71	40	98	34	53	20	6	41
X1P36.32.DEL	C2	3.5732976003573306e-05	9.99990000099999e-06	0.22545454545454544	0.14516129032258068	0.41935483870967744	0.20161290322580647	0.10483870967741936	0.12903225806451615	0.03272727272727273	0.09454545454545454	0.045454545454545456	0.023636363636363636	0.02909090909090909	18	98	52	72	25	70	13	64	16	122	19	52	26	13	16
X1P36.11.DEL	C2	3.5732976003573306e-05	9.99990000099999e-06	0.1672727272727273	0.11956521739130434	0.5652173913043478	0.09782608695652173	0.13043478260869565	0.08695652173913042	0.02	0.09454545454545454	0.016363636363636365	0.02181818181818182	0.014545454545454545	11	105	52	72	9	86	12	65	8	130	11	53	9	12	8
X11Q.AMP	C2	3.5732976003573306e-05	9.99990000099999e-06	0.19272727272727275	0.12264150943396225	0.4433962264150943	0.08490566037735849	0.1792452830188679	0.16981132075471697	0.023636363636363636	0.08545454545454545	0.016363636363636365	0.034545454545454546	0.03272727272727273	13	103	47	77	9	86	19	58	18	120	14	54	9	21	18
X1P31.1.DEL	C2	3.5732976003573306e-05	9.99990000099999e-06	0.14727272727272728	0.07407407407407408	0.5679012345679012	0.07407407407407408	0.1728395061728395	0.11111111111111112	0.01090909090909091	0.08363636363636363	0.01090909090909091	0.025454545454545455	0.016363636363636365	6	110	46	78	6	89	14	63	9	129	6	46	6	14	10
X1P13.1.DEL	C2	3.5732976003573306e-05	9.99990000099999e-06	0.1618181818181818	0.14606741573033707	0.5056179775280899	0.07865168539325844	0.14606741573033707	0.12359550561797754	0.023636363636363636	0.08181818181818182	0.012727272727272728	0.023636363636363636	0.02	13	103	45	79	7	88	13	64	11	127	13	47	7	13	12
X14Q32.31.DEL	C2	3.5732976003573306e-05	9.99990000099999e-06	0.15454545454545454	0.21176470588235297	0.5294117647058824	0.07058823529411766	0.07058823529411766	0.11764705882352941	0.03272727272727273	0.08181818181818182	0.01090909090909091	0.01090909090909091	0.01818181818181818	18	98	45	79	6	89	6	71	10	128	18	47	7	6	10
X4Q21.22.DEL	C2	3.5732976003573306e-05	9.99990000099999e-06	0.15636363636363637	0.09302325581395349	0.5116279069767442	0.13953488372093023	0.05813953488372092	0.19767441860465115	0.014545454545454545	0.08	0.02181818181818182	0.00909090909090909	0.03090909090909091	8	108	44	80	12	83	5	72	17	121	8	44	12	5	18
X2P16.1.AMP	C2	3.5732976003573306e-05	9.99990000099999e-06	0.2109090909090909	0.08620689655172413	0.3706896551724138	0.21551724137931036	0.23275862068965517	0.09482758620689656	0.01818181818181818	0.07818181818181819	0.045454545454545456	0.04909090909090909	0.02	10	106	43	81	25	70	27	50	11	127	12	59	37	34	11
X21Q.AMP	C2	3.5732976003573306e-05	9.99990000099999e-06	0.15818181818181817	0.10344827586206898	0.49425287356321845	0.16091954022988508	0.11494252873563218	0.12643678160919541	0.016363636363636365	0.07818181818181819	0.025454545454545455	0.01818181818181818	0.02	9	107	43	81	14	81	10	67	11	127	9	53	16	10	11
X8Q24.22.AMP	C2	3.5732976003573306e-05	9.99990000099999e-06	0.19636363636363635	0.11111111111111113	0.37962962962962965	0.24074074074074076	0.09259259259259259	0.17592592592592593	0.02181818181818182	0.07454545454545454	0.04727272727272727	0.01818181818181818	0.034545454545454546	12	104	41	83	26	69	10	67	19	119	14	43	28	10	20
X4Q35.1.DEL	C2	3.5732976003573306e-05	9.99990000099999e-06	0.13454545454545455	0.06756756756756756	0.554054054054054	0.12162162162162163	0.05405405405405405	0.2027027027027027	0.00909090909090909	0.07454545454545454	0.016363636363636365	0.007272727272727273	0.02727272727272727	5	111	41	83	9	86	4	73	15	123	5	41	9	4	15
X9P21.3.DEL	C2	3.5732976003573306e-05	9.99990000099999e-06	0.1527272727272727	0.11904761904761905	0.4404761904761905	0.09523809523809525	0.02380952380952381	0.32142857142857145	0.01818181818181818	0.06727272727272728	0.014545454545454545	0.0036363636363636364	0.04909090909090909	10	106	37	87	8	87	2	75	27	111	11	44	9	2	33
X9Q21.13.DEL	C2	3.5732976003573306e-05	9.99990000099999e-06	0.11090909090909092	0.08196721311475409	0.6065573770491803	0.016393442622950817	0.04918032786885246	0.24590163934426226	0.00909090909090909	0.06727272727272728	0.0018181818181818182	0.005454545454545455	0.02727272727272727	5	111	37	87	1	94	3	74	15	123	5	37	1	3	15
X16Q12.1.DEL	C2	3.5732976003573306e-05	9.99990000099999e-06	0.10363636363636365	0.08771929824561402	0.6491228070175438	0.08771929824561402	0.08771929824561402	0.08771929824561402	0.00909090909090909	0.06727272727272728	0.00909090909090909	0.00909090909090909	0.00909090909090909	5	111	37	87	5	90	5	72	5	133	5	38	5	5	5
X2Q22.2.DEL	C2	3.5732976003573306e-05	9.99990000099999e-06	0.10727272727272727	0.06779661016949153	0.6101694915254238	0.05084745762711865	0.1016949152542373	0.1694915254237288	0.007272727272727273	0.06545454545454546	0.005454545454545455	0.01090909090909091	0.01818181818181818	4	112	36	88	3	92	6	71	10	128	4	36	3	6	10
X5P.AMP	C2	3.5732976003573306e-05	9.99990000099999e-06	0.14727272727272728	0.37037037037037035	0.38271604938271603	0.13580246913580246	0.03703703703703704	0.07407407407407408	0.05454545454545454	0.056363636363636366	0.02	0.005454545454545455	0.01090909090909091	30	86	31	93	11	84	3	74	6	132	32	35	11	4	6
X8Q12.1.DEL	C2	3.5732976003573306e-05	9.99990000099999e-06	0.12545454545454549	0.10144927536231882	0.43478260869565205	0.05797101449275361	0.05797101449275361	0.3478260869565217	0.012727272727272728	0.05454545454545454	0.007272727272727273	0.007272727272727273	0.04363636363636364	7	109	30	94	4	91	4	73	24	114	7	31	4	4	24
X19P13.2.DEL	C2	3.5732976003573306e-05	9.99990000099999e-06	0.11636363636363636	0.0625	0.453125	0.0625	0.078125	0.34375	0.007272727272727273	0.05272727272727273	0.007272727272727273	0.00909090909090909	0.04	4	112	29	95	4	91	5	72	22	116	4	31	4	5	22
X13Q34.DEL	C2	3.5732976003573306e-05	9.99990000099999e-06	0.09999999999999999	0.018181818181818184	0.4909090909090909	0.2545454545454546	0.09090909090909091	0.14545454545454548	0.0018181818181818182	0.04909090909090909	0.025454545454545455	0.00909090909090909	0.014545454545454545	1	115	27	97	14	81	5	72	8	130	1	29	14	5	8
