	q	p	Shipp_wt	Shipp_mt	Staudt_wt	Staudt_mt	q_os	p_os	Shipp_os_wt	Shipp_os_mt	Staudt_os_wt	Staudt_os_mt	q_pfs	p_pfs	Shipp_pfs_wt	Shipp_pfs_mt	Staudt_pfs_wt	Staudt_pfs_mt	q_pfs_ipi	p_pfs_ipi	Shipp_pfs_ipi_wt	Shipp_pfs_ipi_mt	Staudt_pfs_ipi_wt	Staudt_pfs_ipi_mt	q_test_train	p_test_train	Train_wt	Train_mt	Test_wt	Test_mt
MYD88	0.8965972888542947	0.3471220675738918	36	29	51	58	0.9679650521579923	0.6839068378464309	34	27	20	20	0.8057142857142859	0.41874472604038177	20	12	12	12	1.0	0.7742512952322149	20	12	11	8	1.0	1.0	69	0	18	0
X18Q.AMP	0.8965972888542947	0.4059044454294414	18	47	37	72	1.0	0.9999999999999999	16	45	10	30	1.0	1.0	7	25	5	19	1.0	1.0	7	25	4	15	1.0	0.3853320968202021	46	59	9	18
PIM1	0.8965972888542947	0.4197198545984826	27	38	38	71	1.0	0.8371722718215932	25	36	18	22	1.0	0.7765396747006159	10	22	9	15	1.0	0.7630034650297499	10	22	7	12	1.0	0.1569007923376123	49	11	16	8
BTG1	0.8965972888542947	0.4247325998018086	42	23	63	46	1.0	1.0	40	21	27	13	0.735460898204678	0.2503696674739329	24	8	14	10	1.0	0.7476987015821828	24	8	13	6	1.0	0.1034934674113489	82	25	23	2
COO_GCB	0.8965972888542947	0.45719220958689977	44	4	104	5	1.0	1.0	42	4	37	3	1.0	1.0	22	1	22	2	1.0	0.5812717770034844	22	1	17	2	1.0	0.6624757633022884	122	7	26	2
IGLL5	0.8965972888542947	0.4621452745736942	52	13	81	28	0.9679650521579923	0.4222494776583234	49	12	35	5	1.0	1.0	25	7	19	5	1.0	0.7251150888566719	25	7	16	3	1.0	0.3511860756859183	101	7	32	0
TMSB4X	0.8965972888542947	0.4746265260745116	51	14	80	29	1.0	0.8084619128646493	47	14	32	8	0.9127090753558366	0.5437415768077324	22	10	19	5	0.7959001782531195	0.32317173112534603	22	10	16	3	1.0	0.49376919231593225	105	2	26	1
X18P.AMP	0.8965972888542947	0.5238215454154581	36	29	67	42	0.9679650521579923	0.6820388296490625	33	28	24	16	0.735460898204678	0.17661099111386852	12	20	14	10	0.6082440457288527	0.0905895387255738	12	20	12	7	1.0	0.23477001075488962	85	46	18	16
X3P.AMP	0.8965972888542947	0.5258005422423523	41	24	63	46	0.9679650521579923	0.5317926784840956	37	24	27	13	0.735460898204678	0.10998329213619855	14	18	16	8	0.7593593630371007	0.24916120100999403	14	18	12	7	1.0	0.6998542889127383	81	50	23	12
IPI_IntermediateLow_2	0.8965972888542947	0.5474479655994056	55	10	88	21	0.9295397587133531	0.3160123792734649	51	10	30	10	0.8057142857142859	0.29786451837938027	28	4	18	6	0.6751886325057057	0.1458451876955651	28	4	13	6	1.0	0.6291275582367565	113	26	30	5
HLA.B	0.8965972888542947	0.5512179255073288	51	14	90	19	0.9679650521579923	0.6035020376013771	48	13	34	6	1.0	0.7413283294975033	25	7	20	4	1.0	0.7251150888566719	25	7	16	3	1.0	1.0	115	0	26	0
COO_UNC	0.8965972888542947	0.5532196037611605	45	3	98	11	0.9295397587133531	0.2928349250478842	43	3	34	6	0.8057142857142859	0.3475177304964539	22	1	20	4	0.6751886325057057	0.1580228714375056	22	1	15	4	1.0	0.2782212842796247	119	10	24	4
BCL11A	0.8992704866442751	0.5740024382835799	61	4	99	10	1.0	1.0	57	4	37	3	1.0	1.0	29	3	22	2	1.0	1.0	29	3	17	2	1.0	1.0000000000000002	126	3	34	0
X6P21.33.DEL	0.9284059068382331	0.6153651865960907	46	19	72	37	0.8066006600660068	0.12835620000059864	45	16	23	17	0.735460898204678	0.2503696674739329	24	8	14	10	0.6751886325057057	0.13051259297524762	24	8	10	9	1.0	0.8340763747545372	95	42	23	9
MYD88.L265P	0.9284059068382331	0.6321061493366693	41	24	64	45	0.9295397587133531	0.3023899991305619	39	22	21	19	0.8057142857142859	0.41950558291943313	21	11	13	11	1.0	0.7652213470415037	21	11	11	8	1.0	1.0	85	0	20	0
X6Q21.DEL	0.9518175829159261	0.712542223149922	49	16	85	24	1.0	1.0	46	15	31	9	1.0	0.7602901200624771	24	8	19	5	1.0	1.0	24	8	15	4	1.0	0.6446712158180123	105	30	29	6
ETV6	0.9518175829159261	0.7210013623340926	50	15	81	28	0.9295397587133531	0.24354718941411907	49	12	28	12	0.9116856637833333	0.5237343174925532	26	6	17	7	1.0	1.0	26	6	15	4	1.0	1.0	103	2	28	0
X19Q.AMP	0.9518175829159261	0.7243703924458118	46	19	81	28	0.9679650521579923	0.662841104139268	43	18	26	14	1.0	1.0	23	9	17	7	0.9726236980772237	0.4966589096564546	23	9	16	3	1.0	0.8236230450109076	102	32	25	9
LYN	0.9518175829159261	0.7290517656377307	61	4	104	5	1.0	0.9999999999999999	57	4	38	2	1.0	1.0	31	1	23	1	1.0	1.0	31	1	18	1	1.0	1.0	131	0	34	0
X18Q22.2.AMP	0.973994807880459	0.774734273647338	59	6	101	8	0.9295397587133531	0.23920450955257525	55	6	39	1	0.735460898204678	0.12683710419559469	28	4	24	0	0.7593593630371007	0.28348939575830345	28	4	19	0	1.0	1.0	128	8	32	2
ZC3H12A	0.973994807880459	0.7874851638182434	60	5	98	11	0.9295397587133531	0.3362165084707873	56	5	34	6	1.0	1.0	28	4	21	3	1.0	1.0	28	4	16	3	1.0	0.19496855345911956	128	0	30	1
TBL1XR1	1.0	0.8562123010930232	50	15	82	27	0.9679650521579923	0.6035020376013771	48	13	34	6	1.0	0.7295705262928444	27	5	19	5	1.0	0.7113708432995054	27	5	15	4	1.0	1.0	103	1	29	0
X19Q13.42.AMP	1.0	0.8611000402876532	48	17	78	31	0.9679650521579923	0.6469567859315816	46	15	28	12	1.0	1.0	22	10	17	7	1.0	0.7613366096047676	22	10	14	5	1.0	0.14117308320902835	104	23	22	10
X3Q.AMP	1.0	0.9999999999999999	31	34	51	58	0.9679650521579923	0.6869084115581869	27	34	16	24	0.9300845595360755	0.5738819622669402	10	22	10	14	1.0	0.5474162809076528	10	22	8	11	1.0	0.6931818082904437	67	61	15	17
ETS1	1.0	0.9999999999999999	59	6	100	9	0.9679650521579923	0.7002300377313136	56	5	38	2	0.8057142857142859	0.37880149200903934	28	4	23	1	0.7593593630371007	0.28348939575830345	28	4	19	0	1.0	0.3689440993788822	127	1	32	1
GRHPR	1.0	1.0	55	10	92	17	1.0	1.0	52	9	34	6	1.0	0.7130681280736775	28	4	20	4	1.0	1.0	28	4	17	2	1.0	1.0	118	3	29	1
SV.MYC_SV.BCL2	1.0	1.0	65	0	109	0	1.0	1.0	61	0	40	0	1.0	1.0	32	0	24	0	1.0	1.0	32	0	19	0	1.0	1.0	139	0	35	0
IPI_Low_01	1.0	1.0	45	20	74	35	0.9679650521579923	0.6724070347473967	41	20	25	15	0.735460898204678	0.20007745530970328	27	5	16	8	0.4673170532757237	0.04971458013571529	27	5	11	8	1.0	0.5420554166248763	93	46	26	9
COO_ABC	1.0	1.0	7	41	16	93	0.9679650521579923	0.4180677025986544	7	39	9	31	0.735460898204678	0.24481561490528309	2	21	6	18	0.6593846660919831	0.11223568784544392	2	21	6	13	1.0	0.25236394435999243	17	112	6	22
SF3B1	1.0	1.0	63	2	104	5	0.9679650521579923	0.5168316831683168	59	2	40	0	1.0	1.0	31	1	24	0	1.0	1.0	31	1	19	0	1.0	1.0	133	1	34	0
