Sample	PrepType
DLBCL10974	FFPE
DLBCL11504	FFPE
DLBCL10922	FFPE
DLBCL10980	FFPE
DLBCL10463	FFPE
DLBCL11685	FFPE
DLBCL10917	FFPE
DLBCL11581	FFPE
DLBCL11002	FFPE
DLBCL10521	FFPE
DLBCL11678	FFPE
DLBCL10992	FFPE
DLBCL11576	FFPE
DLBCL10501	FFPE
DLBCL11512	FFPE
DLBCL11441	FFPE
DLBCL10510	FFPE
DLBCL10990	FFPE
DLBCL10957	FFPE
DLBCL11004	FFPE
DLBCL10859	FFPE
DLBCL10782	FFPE
DLBCL10854	FFPE
DLBCL11564	FFPE
DLBCL10536	FFPE
DLBCL11590	FFPE
DLBCL10978	FFPE
DLBCL11446	FFPE
DLBCL10906	FFPE
DLBCL10989	FFPE
DLBCL10894	FFPE
DLBCL10513	FFPE
DLBCL11202	FFPE
DLBCL10895	FFPE
DLBCL11595	FFPE
DLBCL11533	FFPE
DLBCL10934	FFPE
DLBCL11474	FFPE
DLBCL10490	FFPE
DLBCL11208	FFPE
DLBCL10999	FFPE
DLBCL10877	FFPE
DLBCL11461	FFPE
DLBCL11443	FFPE
DLBCL10857	FFPE
DLBCL11669	FFPE
DLBCL10525	FFPE
DLBCL11525	FFPE
DLBCL10852	FFPE
DLBCL10849	FFPE
DLBCL10959	FFPE
DLBCL11574	FFPE
DLBCL10845	FFPE
DLBCL10454	FFPE
DLBCL11656	FFPE
DLBCL10864	FFPE
DLBCL10913	FFPE
DLBCL10993	FFPE
DLBCL10848	FFPE
DLBCL11500	FFPE
DLBCL10947	FFPE
DLBCL10464	FFPE
DLBCL11467	FFPE
DLBCL11677	FFPE
DLBCL11203	FFPE
DLBCL11652	FFPE
DLBCL11455	FFPE
DLBCL10535	FFPE
DLBCL11536	FFPE
DLBCL11454	FFPE
DLBCL11480	FFPE
DLBCL10565	FFPE
DLBCL11675	FFPE
DLBCL10514	FFPE
DLBCL11651	FFPE
DLBCL11450	FFPE
DLBCL10914	FFPE
DLBCL11468	FFPE
DLBCL10883	FFPE
DLBCL10863	FFPE
DLBCL11195	FFPE
DLBCL10460	FFPE
DLBCL10880	FFPE
DLBCL10465	FFPE
DLBCL11495	FFPE
DLBCL11528	FFPE
DLBCL11520	FFPE
DLBCL10522	FFPE
DLBCL10869	FFPE
DLBCL_RICOVER_1299	FFPE
DLBCL_RICOVER_575	FFPE
DLBCL_RICOVER_258	FFPE
DLBCL_RICOVER_506	FFPE
DLBCL_RICOVER_950	FFPE
DLBCL_RICOVER_274	FFPE
DLBCL_RICOVER_617	FFPE
DLBCL_RICOVER_711	FFPE
DLBCL_RICOVER_685	FFPE
DLBCL_RICOVER_449	FFPE
DLBCL_RICOVER_314	FFPE
DLBCL_RICOVER_299	FFPE
DLBCL_RICOVER_956	FFPE
DLBCL_RICOVER_1032	FFPE
DLBCL_RICOVER_787	FFPE
DLBCL_RICOVER_288	FFPE
DLBCL_RICOVER_829	FFPE
DLBCL_RICOVER_451	FFPE
DLBCL_RICOVER_1018	FFPE
DLBCL_RICOVER_335	FFPE
DLBCL_RICOVER_744	FFPE
DLBCL_RICOVER_1046	FFPE
DLBCL_RICOVER_1278	FFPE
DLBCL_RICOVER_1081	FFPE
DLBCL_RICOVER_401	FFPE
DLBCL_RICOVER_338	FFPE
DLBCL_RICOVER_216	FFPE
DLBCL_RICOVER_1329	FFPE
DLBCL_RICOVER_1150	FFPE
DLBCL_RICOVER_1219	FFPE
DLBCL_RICOVER_408	FFPE
DLBCL_RICOVER_151	FFPE
DLBCL_RICOVER_174	FFPE
DLBCL_RICOVER_780	FFPE
DLBCL_RICOVER_826	FFPE
DLBCL_RICOVER_221	FFPE
DLBCL_RICOVER_1190	FFPE
DLBCL_RICOVER_320	FFPE
DLBCL_RICOVER_1060	FFPE
DLBCL_RICOVER_533	FFPE
DLBCL_RICOVER_945	FFPE
DLBCL_RICOVER_417	FFPE
DLBCL_RICOVER_467	FFPE
DLBCL_RICOVER_1165	FFPE
DLBCL_C_D_PAIR13	FFPE
