PercentTrain	trainingloss	validationloss	bin	PercentTrain_upper
0.343	0.0252740996347449	0.0276897284783055	(0.32,0.36]	0.36
0.344	0.023176965916664	0.026432738453271	(0.32,0.36]	0.36
0.345	0.0260060933897256	0.0353538886182442	(0.32,0.36]	0.36
0.346	0.031402512421138	0.0318889366152876	(0.32,0.36]	0.36
0.348	0.0314985035923177	0.0352697877074103	(0.32,0.36]	0.36
0.349	0.0196074580408819	0.0353899467372684	(0.32,0.36]	0.36
0.35	0.0337390988649038	0.0366213747774422	(0.32,0.36]	0.36
0.351	0.0335355825227121	0.0314631624740806	(0.32,0.36]	0.36
0.353	0.0436646834700207	0.0418231566206651	(0.32,0.36]	0.36
0.355	0.0258157654888615	0.0315118517888939	(0.32,0.36]	0.36
0.357	0.0496350742845011	0.0467401011676337	(0.32,0.36]	0.36
0.36	0.0280206564495358	0.0311959204892446	(0.32,0.36]	0.36
0.364	0.0491257474916829	0.0467368831789944	(0.36,0.4]	0.4
0.367	0.0243790987445138	0.0291742031315931	(0.36,0.4]	0.4
0.368	0.0402281640287234	0.0403783018244645	(0.36,0.4]	0.4
0.37	0.0280932953776987	0.0299117590588723	(0.36,0.4]	0.4
0.371	0.0232808910410862	0.0275813922162342	(0.36,0.4]	0.4
0.372	0.0189637595105858	0.0300565677051573	(0.36,0.4]	0.4
0.375	0.0420548179520473	0.0421575946756917	(0.36,0.4]	0.4
0.378	0.0309777639965115	0.0295159457922896	(0.36,0.4]	0.4
0.379	0.0238383060529837	0.0341335808160303	(0.36,0.4]	0.4
0.381	0.032975741864621	0.0356127605580015	(0.36,0.4]	0.4
0.382	0.0197481669208308	0.0251347146905962	(0.36,0.4]	0.4
0.385	0.0459478216264477	0.0440717891827781	(0.36,0.4]	0.4
0.387	0.0238096802566896	0.0307904713179791	(0.36,0.4]	0.4
0.389	0.038339631648818	0.0379016347513658	(0.36,0.4]	0.4
0.391	0.0281545229726236	0.032349513186932	(0.36,0.4]	0.4
0.393	0.0234121146011178	0.0304138722225319	(0.36,0.4]	0.4
0.394	0.0204642804952627	0.0266799728486343	(0.36,0.4]	0.4
0.395	0.0183964258111967	0.0317322162715884	(0.36,0.4]	0.4
0.4	0.0402336497585338	0.0410429661286762	(0.36,0.4]	0.4
0.405	0.0301431879022127	0.029657675690292	(0.4,0.44]	0.44
0.406	0.0207833674207364	0.0274741496903603	(0.4,0.44]	0.44
0.407	0.0262282115019088	0.0298169772544594	(0.4,0.44]	0.44
0.409	0.0285486492799581	0.0308000532868477	(0.4,0.44]	0.44
0.412	0.0369476238426413	0.0371490386967735	(0.4,0.44]	0.44
0.414	0.02378453689203	0.0285176586496943	(0.4,0.44]	0.44
0.417	0.0452405681701103	0.0426952244792226	(0.4,0.44]	0.44
0.419	0.0218081499153338	0.0301664317003347	(0.4,0.44]	0.44
0.421	0.0340699241913517	0.0360519515000002	(0.4,0.44]	0.44
0.423	0.0265375921699439	0.0295985866352335	(0.4,0.44]	0.44
0.424	0.0186631337096599	0.025386477700392	(0.4,0.44]	0.44
0.425	0.0198107224671151	0.0302366860872618	(0.4,0.44]	0.44
0.429	0.0364499610541307	0.0371450044063446	(0.4,0.44]	0.44
0.432	0.0282235158822692	0.0285118076405654	(0.4,0.44]	0.44
0.433	0.0194987045290303	0.0276968491673739	(0.4,0.44]	0.44
0.435	0.0254809612448385	0.0317723060054419	(0.4,0.44]	0.44
0.438	0.0364377934544146	0.0377368299706092	(0.4,0.44]	0.44
0.44	0.0239663816780008	0.0288226477947132	(0.4,0.44]	0.44
0.441	0.0170377749894696	0.0260195493133973	(0.44,0.48]	0.48
0.442	0.0168978110232108	0.0292918378532444	(0.44,0.48]	0.48
0.444	0.0361086136560239	0.0363081780392099	(0.44,0.48]	0.48
0.448	0.0220435907236375	0.0299393814902941	(0.44,0.48]	0.48
0.45	0.0267336649832821	0.03181261601966	(0.44,0.48]	0.48
0.452	0.021292003693305	0.0318896862796204	(0.44,0.48]	0.48
0.455	0.0390112697575832	0.0395843238135602	(0.44,0.48]	0.48
0.457	0.0203533751443686	0.0233423056018052	(0.44,0.48]	0.48
0.458	0.0235223709940077	0.0266224750484701	(0.44,0.48]	0.48
0.459	0.0271033827256006	0.0253016403761908	(0.44,0.48]	0.48
0.462	0.0373180203948729	0.0394003192492481	(0.44,0.48]	0.48
0.464	0.020873568734805	0.0288881866577421	(0.44,0.48]	0.48
0.465	0.0162156686354319	0.0291005247459647	(0.44,0.48]	0.48
0.467	0.0358848337295377	0.0394175899087729	(0.44,0.48]	0.48
0.469	0.0183852813897277	0.0287139975439242	(0.44,0.48]	0.48
0.471	0.0322495079251321	0.0340439043591152	(0.44,0.48]	0.48
0.474	0.0297505423214999	0.0330021613923496	(0.44,0.48]	0.48
0.475	0.0170956127897956	0.0344938038837036	(0.44,0.48]	0.48
0.476	0.0261797981674448	0.0306672939720636	(0.44,0.48]	0.48
0.478	0.02344473354946	0.0300024471483911	(0.44,0.48]	0.48
0.48	0.0222817884977372	0.028998179942911	(0.44,0.48]	0.48
0.481	0.022843528453188	0.0274842246143407	(0.48,0.52]	0.52
0.483	0.021392093845191	0.0282489907094714	(0.48,0.52]	0.52
0.484	0.020978489075231	0.0303062140040181	(0.48,0.52]	0.52
0.485	0.0177285533590564	0.0273194667566777	(0.48,0.52]	0.52
0.486	0.0219624088079316	0.0241850612064375	(0.48,0.52]	0.52
0.488	0.0163755441867755	0.0335088744894684	(0.48,0.52]	0.52
0.5	0.0331811529445113	0.0353022820397481	(0.48,0.52]	0.52
0.512	0.0142686720993178	0.0302903113258383	(0.48,0.52]	0.52
0.514	0.021236316025136	0.0236716230450232	(0.48,0.52]	0.52
0.515	0.0169619802494182	0.028893173364135	(0.48,0.52]	0.52
0.516	0.0203108576969337	0.0290946930902334	(0.48,0.52]	0.52
0.517	0.0194250336938233	0.0283757341173571	(0.48,0.52]	0.52
0.519	0.0212382245252749	0.0270627299886387	(0.48,0.52]	0.52
0.52	0.0213118121612696	0.0282589200963457	(0.48,0.52]	0.52
0.522	0.021971140985449	0.0293322846313786	(0.52,0.56]	0.56
0.524	0.0240766888151443	0.0283611039148037	(0.52,0.56]	0.56
0.525	0.0158260613834664	0.0293573316464842	(0.52,0.56]	0.56
0.526	0.0264714213637244	0.0306777614253405	(0.52,0.56]	0.56
0.529	0.0286760593039755	0.0313077706916662	(0.52,0.56]	0.56
0.531	0.0175880563509615	0.0258727313051904	(0.52,0.56]	0.56
0.533	0.0311088145102614	0.0366320168082988	(0.52,0.56]	0.56
0.535	0.0149742066843127	0.0311098306175543	(0.52,0.56]	0.56
0.536	0.0185510188599487	0.0265704733302875	(0.52,0.56]	0.56
0.538	0.0316271159808439	0.0345349150198339	(0.52,0.56]	0.56
0.541	0.0228289763627739	0.0280906499157416	(0.52,0.56]	0.56
0.542	0.021529351228623	0.0264338693920893	(0.52,0.56]	0.56
0.543	0.0189783685091751	0.0274073203398594	(0.52,0.56]	0.56
0.545	0.0320273735773648	0.0345666125952256	(0.52,0.56]	0.56
0.548	0.0194101958307176	0.0296761989708816	(0.52,0.56]	0.56
0.55	0.0222348532704942	0.0289529266726812	(0.52,0.56]	0.56
0.552	0.0189663330494066	0.0247345270985793	(0.52,0.56]	0.56
0.556	0.0288149906624274	0.031126969728347	(0.52,0.56]	0.56
0.558	0.0152530515772018	0.0285872147557841	(0.52,0.56]	0.56
0.559	0.0146669092063681	0.025328591930312	(0.52,0.56]	0.56
