pair_id	case_sample	control_sample	ploidy_absolute_reviewed
DLBCL_LS1546	DLBCL-Ls1546-Tumor	DLBCL-Ls1546-Normal	2.010000
DLBCL_LS155	DLBCL-Ls155-Tumor	DLBCL-Ls155-Normal	2.040000
DLBCL_LS1583	DLBCL-Ls1583-Tumor	DLBCL-Ls1583-Normal	2.040000
DLBCL_LS1620	DLBCL-Ls1620-Tumor	DLBCL-Ls1620-Normal	2.020000
DLBCL_LS1668	DLBCL-Ls1668-Tumor	DLBCL-Ls1668-Normal	3.739287
DLBCL_LS1683	DLBCL-Ls1683-Tumor	DLBCL-Ls1683-Normal	2.060000
DLBCL_LS1757	DLBCL-Ls1757-Tumor	DLBCL-Ls1757-Normal	1.950000
DLBCL_LS1899	DLBCL-Ls1899-Tumor	DLBCL-Ls1899-Normal	2.200000
DLBCL_LS1921	DLBCL-Ls1921-Tumor	DLBCL-Ls1921-Normal	1.760000
DLBCL_LS2089	DLBCL-Ls2089-Tumor	DLBCL-Ls2089-Normal	3.950000
DLBCL_LS2154	DLBCL-Ls2154-Tumor	DLBCL-Ls2154-Normal	2.040000
DLBCL_LS2208	DLBCL-Ls2208-Tumor	DLBCL-Ls2208-Normal	2.120000
DLBCL_LS2245	DLBCL-Ls2245-Tumor	DLBCL-Ls2245-Normal	1.930000
DLBCL_LS2258	DLBCL-Ls2258-Tumor	DLBCL-Ls2258-Normal	1.970000
DLBCL_LS2264	DLBCL-Ls2264-Tumor	DLBCL-Ls2264-Normal	2.000000
DLBCL_LS2305	DLBCL-Ls2305-Tumor	DLBCL-Ls2305-Normal	4.092750
DLBCL_LS2325	DLBCL-LS2325-Tumor	DLBCL-LS2326-Normal	1.880000
DLBCL_LS2328	DLBCL-Ls2328-Tumor	DLBCL-Ls2328-Normal	1.900000
DLBCL_LS2357	DLBCL-Ls2357-Tumor	DLBCL-Ls2357-Normal	2.000000
DLBCL_LS2367	DLBCL-Ls2367-Tumor	DLBCL-Ls2367-Normal	2.140000
DLBCL_LS2590	DLBCL-Ls2590-Tumor	DLBCL-Ls2590-Normal	2.110000
DLBCL_LS2595	DLBCL-Ls2595-Tumor	DLBCL-Ls2595-Normal	2.000000
DLBCL_LS2596	DLBCL-Ls2596-Tumor	DLBCL-Ls2596-Normal	2.040000
DLBCL_LS2599	DLBCL-Ls2599-Tumor	DLBCL-Ls2599-Normal	2.260000
