	u1	u2
DLBCL_MC_F139_LJF	7.0083566	7.4781833
DLBCL10857	6.5652905	5.3713017
DLBCL11460	6.3579874	7.728426
DLBCL_RICOVER_1061	6.4376283	7.641517
DLBCL_RICOVER_1165	2.9297304	6.7648144
DLBCL_C_D_1126_NULLPAIR	2.541474	6.7454762
DLBCL_RICOVER_1032	7.599381	2.9265428
DLBCL11205	3.9958258	8.689484
DLBCL11538	3.9589202	9.027416
DLBCL_C_D_1105_NULLPAIR	1.8590475	7.0067763
DLBCL_RICOVER_473	5.858084	10.515133
DLBCL11486	7.302702	9.609338
DLBCL_RICOVER_744	2.3463762	9.572834
DLBCL10980	4.0791783	5.536834
DLBCL_RICOVER_496	3.0845783	7.8136477
DLBCL10523	2.737877	9.995263
DLBCL10498	2.1813724	9.9797735
DLBCL11472	5.5947943	9.512672
DLBCL11435	7.3880873	9.720825
DLBCL11675	6.6265593	5.7477436
DLBCL_C_D_1141_NULLPAIR	1.5379268	9.140871
DLBCL10459	1.792399	9.579137
DLBCL10925	5.775261	4.9458537
DLBCL_LS1098	1.5294086	9.8427515
DLBCL_C_D_1113_NULLPAIR	3.970028	9.489164
DLBCL11458	1.4340514	9.333629
DLBCL10930	5.481906	4.4440093
DLBCL10954	2.006153	6.4400663
DLBCL11484	3.1428301	7.7794414
DLBCL10889	6.761089	5.03621
DLBCL10898	5.162212	5.7586474
DLBCL10902	6.261559	5.008069
DLBCL10834	-0.005607701	5.780514
DLBCL11526	2.736259	9.986427
DLBCL_C_D_1133_NULLPAIR	1.4305199	8.958825
DLBCL10963	4.3051147	5.3548365
DLBCL11512	-0.43355215	5.7887244
DLBCL_MC_F262_WLC	6.177252	9.209322
DLBCL_MC_F349_BJJ	2.3245764	9.429961
DLBCL11666	1.97815	9.952277
DLBCL10502	1.088906	5.999236
DLBCL_RICOVER_1192	5.081662	4.6524763
DLBCL_RICOVER_712	4.5308123	5.205806
DLBCL10458	6.745892	10.142091
DLBCL10842	6.210191	4.492516
DLBCL10977	5.35963	5.5196724
DLBCL10990	4.742816	5.164192
DLBCL_LS378	5.911535	10.398552
DLBCL10901	6.7704988	4.50222
DLBCL11000	5.519065	4.803473
DLBCL10860	5.9306393	4.478018
DLBCL_RICOVER_1210	2.0313525	6.9667163
DLBCL_RICOVER_253	0.029405849	5.7340155
DLBCL10483	0.6475683	4.9796295
DLBCL_C_D_1131_NULLPAIR	0.8501701	6.50325
DLBCL_RICOVER_174	0.08019928	5.811635
DLBCL10460	2.1381547	6.672242
DLBCL10850	0.9822032	4.982606
DLBCL11657	4.8594694	8.4475155
DLBCL10485	4.583689	4.621059
DLBCL10984	1.7649616	5.0446677
DLBCL_C_D_1166_NULLPAIR	4.7079883	4.559321
DLBCL_RICOVER_320	4.296571	9.621709
DLBCL11664	1.090593	4.998097
DFCIDL009_DT	2.9503193	6.2347665
DLBCL_RICOVER_617	5.0674753	8.710991
DFCIDL008_DT	4.6284056	6.6053867
DLBCL11683	3.8559892	9.174068
DLBCL_RICOVER_1329	4.6289053	4.6661954
DLBCL_MC_F502_RFK	0.068441376	5.0674047
DLBCL10961	7.6053705	2.972014
DLBCL11591	0.71160066	6.5303864
DLBCL10488	3.897793	8.797926
DLBCL_RICOVER_575	5.00563	8.624065
DLBCL_LS4593	2.098947	8.811606
DLBCL11679	0.94879633	4.928916
DLBCL10849	2.098646	6.0117903
DLBCL_C_D_1139_NULLPAIR	6.1448917	7.472362
DLBCL11542	1.1954556	9.699922
DLBCL10947	2.0142095	6.2942414
DLBC_FF_A7CW_TP_NB	4.2172203	5.649721
DLBCL11498	0.7095622	5.1981897
DLBCL10527	6.242635	7.674797
DLBCL_LS1683	1.8465263	6.9825687
DLBCL_RICOVER_1235	0.34178698	4.912748
DLBCL_RICOVER_678	2.130496	7.16986
DLBCL_C_D_1106_NULLPAIR	1.0331284	6.2592764
DLBCL11208	3.4221425	8.031124
DLBCL_C_D_1151_NULLPAIR	6.625089	7.6462064
DLBCL10480	1.0619327	6.2705545
DLBCL10469	6.889435	7.5576015
DLBCL10932	6.60229	7.7130194
DLBCL10978	6.282101	7.419387
DLBCL11196	6.58421	7.47894
DLBCL10497	6.7983603	7.610726
DLBCL_LS2367	6.2790666	10.084718
DLBCL11001	5.760177	4.5604353
DLBCL11533	2.310864	6.760407
DLBCL11194	6.7006097	5.121915
DLBC_FF_A7CR_TP_NB	7.434086	3.9335668
DLBCL10928	6.3997245	9.682064
DLBCL11513	5.3318996	5.543356
DLBCL_RICOVER_288	1.7934086	5.8827696
DLBCL10518	3.2952857	9.506544
DLBCL10989	2.647652	6.9728546
DLBCL11676	5.817667	9.392219
DLBCL10542	7.3986845	9.558049
DLBCL11573	1.5410084	9.805311
DLBCL10888	6.7709575	5.3182077
DLBCL10837	5.384153	4.549323
DLBCL_RICOVER_335	0.7157196	5.641877
DLBCL10876	5.0989547	4.9624934
DLBCL_LS3809	6.6727057	10.578644
DLBCL10917	0.77445924	5.3075705
DLBCL10519	0.37787625	5.953035
DLBCL10484	0.9125826	5.8505282
DLBCL_RICOVER_839	2.6925273	6.964268
DLBCL10988	2.3150294	6.0478115
DLBCL10554	3.660701	9.309623
DLBCL11569	1.9744035	8.718373
DLBCL10975	7.430764	9.692786
DLBCL_RICOVER_1283	2.2190716	8.9959955
DLBCL11651	4.2750044	9.556529
DLBCL_LS3820	2.3022199	8.994229
DLBCL10918	6.8792	9.2762985
DLBCL10522	3.9067078	9.503731
DLBCL10848	6.7896614	4.922008
DLBCL10462	7.21325	9.504179
DLBCL10896	5.622192	9.880687
DLBCL10875	5.5971184	9.329857
DLBCL10893	6.7565217	4.5140753
DLBCL_RICOVER_685	7.529534	3.8151152
DLBCL10463	7.1531706	4.103887
DLBCL10967	5.7779765	4.5060177
DLBCL10924	6.8486123	4.4295197
DLBCL11509	4.666918	9.725216
DLBCL11477	5.56127	9.75556
DLBCL10864	6.9855328	4.096707
DLBCL_RICOVER_826	6.9244537	9.441645
DLBCL10966	5.5044913	9.336511
DLBCL11191	6.7490835	10.33799
DLBCL_RICOVER_1204	6.118773	4.846659
DLBCL_RICOVER_1263	1.1666678	9.723235
DLBCL_RICOVER_866	1.4175705	9.806604
DLBCL10509	1.873685	6.933925
DLBCL_LS4592	1.5558584	9.547678
DLBCL11516	2.7806473	6.360298
DLBCL_RICOVER_583	2.8544858	6.2596703
DLBCL11663	4.3330655	9.605405
DLBCL11464	6.6143274	10.348603
DLBCL11495	6.726647	5.528857
DLBCL_MC_F210_GWC	2.9462445	7.5764995
DLBCL10453	5.105056	5.885358
DLBCL10854	6.913236	4.6947155
DLBCL10845	1.7995284	5.242001
DLBCL10851	1.5964262	6.476792
DLBCL10566	4.52366	6.580049
DLBCL_MC_F739_AMA3	0.46802372	4.8606
DLBCL11655	6.9507837	7.3880286
DLBCL_RICOVER_780	0.4258583	4.8104267
DLBCL11659	5.5338774	9.755565
DLBCL_C_D_1149_NULLPAIR	1.9861206	7.1829844
DLBCL11346	1.5826714	4.981167
DLBCL10956	2.346936	7.0624895
DLBCL_RICOVER_173	6.6860137	5.4334545
DLBCL10541	3.1181805	7.2133393
DLBCL11454	6.5185633	10.063095
DLBCL10964	5.53432	4.873274
DLBCL_RICOVER_1299	6.774725	4.388793
DLBCL10995	4.1338215	9.383326
DLBCL_C_D_1103_NULLPAIR	5.747474	8.101889
DLBCL_LS3204	2.1093698	5.996665
DLBCL_RICOVER_361	6.727243	7.686854
DLBCL11541	3.9610426	9.503751
DLBCL_RICOVER_948	1.2374966	5.7783523
DLBCL10904	6.184334	4.9713287
DLBCL10939	6.6148047	7.7114835
DFCIDL003_DT	0.08507244	5.0619297
DLBCL10859	1.5490537	6.440599
DLBCL10467	6.3410163	5.044161
DLBCL11669	1.4323975	8.861078
DLBCL10464	2.4006577	9.707893
DLBCL10916	4.493943	4.664946
DLBCL_MAYO_DLBCL_7359	0.065750614	5.8366776
DLBCL11523	6.623512	5.4159546
DLBCL_C_D_1152_NULLPAIR	0.26361156	6.0081253
DLBCL10987	5.1855483	4.7415504
DLBCL10881	5.2763796	5.618078
DLBCL10899	7.5374675	3.2497997
DLBCL_C_D_1157_NULLPAIR	2.51602	9.33986
DLBCL_C_D_1135_NULLPAIR	0.70614314	5.408816
DLBCL_LS843	1.8000448	9.523583
DLBCL_C_D_1123_NULLPAIR	6.3853703	9.9909725
DLBCL10457	4.852461	6.1602707
DLBCL11595	4.636765	6.010434
DLBCL_RICOVER_469	2.4470296	9.828863
DLBCL_RICOVER_267	2.9819665	9.605245
DLBCL11443	7.214645	9.681575
DFCIDL010_DT	5.288372	9.9587755
DLBCL10913	6.8623157	9.290188
DLBCL_MAYO_DLBCL_5613	6.007619	10.451
DLBCL10996	7.303388	9.812791
DLBCL11511	5.2227235	9.483202
DLBCL11004	6.8688583	4.2695117
DLBCL11677	6.2895584	10.505137
DLBCL10870	6.4652705	5.4747667
DLBCL11242	6.2220173	5.2356453
DLBCL_MC_F132_MLM	7.079336	9.636917
DLBCL10897	6.6224747	9.567819
DLBCL11434	6.098893	10.2904415
DLBCL11482	6.782575	9.729218
DLBCL11187	7.5512643	3.8622415
DLBCL_RICOVER_1219	5.462142	5.028954
DLBCL_RICOVER_134	7.5988784	2.935229
DLBCL11440	6.5852466	4.4624743
DLBCL_RICOVER_1293	7.5142317	3.6913137
DLBCL10471	4.719038	4.8044534
DLBCL11506	4.903063	9.499451
DLBCL_C_D_1110_NULLPAIR	2.2230875	9.259565
DLBCL_RICOVER_597	6.2268624	4.7974215
DLBCL11193	-0.012080917	5.40858
DLBCL_LS1899	4.922558	8.528331
DLBCL_C_D_1121_NULLPAIR	-0.36466402	5.7112722
DLBCL11531	1.9829907	5.9902296
DLBCL_RICOVER_763	5.180448	5.7962604
DLBCL_RICOVER_197	5.666832	8.159684
DLBCL11503	1.7254181	5.107367
DLBCL_RICOVER_1237	4.8088317	6.3937325
DLBCL_LS4323	4.453985	9.478952
DLBCL_C_D_1146_NULLPAIR	5.1629953	8.7009535
DLBCL_LS4085	4.864969	6.1493387
DLBCL11452	5.6551294	9.126092
DLBCL_RICOVER_126	0.43192115	4.822237
DLBCL11578	5.0106006	8.53926
DLBCL_LS1546	2.046541	7.1027217
DLBCL10942	5.554352	10.123387
DLBCL10504	7.427448	3.9509268
DLBCL11665	6.1196423	7.8308597
DLBCL_C_D_1104_NULLPAIR	4.8747835	6.4528074
DLBCL10516	6.5837317	5.4459352
DLBCL_RICOVER_269	1.3566247	8.820528
DLBCL_RICOVER_623	2.385699	5.971053
DLBCL11445	7.3989797	9.220003
DLBCL_RICOVER_148	5.7162676	8.184368
DLBCL10546	6.8525133	10.586367
DLBCL_MC_F648_JKW	6.2298193	10.187322
DLBCL11660	6.5011888	7.0688043
DLBCL10476	1.8747814	9.22276
DLBCL_RICOVER_692	6.746658	7.330801
DLBCL_RICOVER_208	0.3065313	5.8930902
DLBCL_RICOVER_1138	6.42584	7.903472
DLBCL11577	0.8781053	5.8004794
DLBCL10933	2.5639904	5.983945
DLBCL_RICOVER_99	4.820997	6.14746
DLBCL_RICOVER_1247	4.530487	9.2957535
DLBCL11560	6.3312526	7.4260464
DLBCL11571	6.9275103	7.102811
DLBCL10953	6.88654	10.501192
DLBCL_RICOVER_181	6.8728056	10.638061
DLBCL_LS3309	0.048657566	5.1371207
DLBCL_C_D_1142_NULLPAIR	2.7053084	7.114154
DLBCL_LS3866	5.673071	8.187231
DLBCL_RICOVER_865	6.370596	9.89145
DLBCL11453	6.6491823	7.4601264
DLBCL10493	1.9407253	7.0565066
DLBCL10545	4.514346	9.65405
DLBCL10473	1.4231848	5.2902403
DLBCL10943	4.741983	6.2548957
DLBCL_LS2978	6.6991215	10.324551
DLBCL_RICOVER_463	4.1419168	9.361051
DLBCL11563	1.706752	9.20311
DLBCL_LS3615	3.7812572	9.221323
DLBCL_RICOVER_1169	3.3453946	7.9747124
DLBCL10481	1.8451747	9.184022
DLBCL_RICOVER_585	5.054709	4.5952373
DLBCL_MC_F089_MLB	4.8451223	6.268589
DLBCL_LS1583	6.0137663	5.205152
DLBCL10533	4.81507	4.48889
DLBCL_MC_F959_ERM	1.3483553	5.0016065
DLBCL10938	7.4091015	3.9416134
DLBCL_LS2305	1.2162877	9.463504
DLBCL_RICOVER_1013	1.4588988	8.952452
DLBCL_C_D_PAIR5	0.48779428	6.1437974
DLBCL_RICOVER_1257	4.5337696	4.6830544
DLBCL10537	2.728264	9.619486
DLBCL_RICOVER_694	4.566844	9.460552
DLBCL_RICOVER_266	1.760061	6.743199
DLBCL10508	6.304975	4.939953
DLBCL_C_D_1107_NULLPAIR	6.0150523	10.206955
DLBCL_RICOVER_1144	7.2778363	9.512313
DLBCL_C_D_1124_NULLPAIR	5.551613	4.9755993
DLBCL11584	2.1442754	9.437842
DLBCL11575	1.2864369	9.6649885
DLBCL10540	6.754916	4.553427
DLBCL11532	2.513174	9.846064
DLBCL_C_D_1155_NULLPAIR	5.9526114	10.127205
DLBCL10926	1.7986916	6.6975746
DLBCL_MC_F344_CJS	1.2768416	9.724158
DLBCL_RICOVER_431	7.5937304	2.939124
DLBCL_LS88	1.4169714	6.3687205
DLBCL_RICOVER_107	1.5052665	5.4135866
DLBCL10499	4.4798245	5.2908707
DLBCL11585	1.5735838	9.7954855
DLBCL_LS2596	5.325964	4.838251
DLBCL10528	0.69517875	4.940279
DLBCL11684	1.2265253	5.9774036
DLBCL_MC_F339_JPS2	5.8594418	4.44899
DLBCL11572	1.541144	9.8483305
DLBCL_LS4618	2.6652255	9.410766
DLBCL11514	7.5581675	3.1198835
DLBCL_RICOVER_704	4.9051623	5.6938443
DLBCL11451	4.750058	5.0971403
DLBCL_RICOVER_543	4.93324	5.9672036
DLBCL11579	0.80199265	5.650196
DLBCL_LS1620	2.0326164	9.877311
DLBCL_C_D_1127_NULLPAIR	1.9189762	9.716876
DLBCL_MC_F358_WDS	2.4722793	9.370965
DLBCL_LS2258	2.925913	7.7753744
DLBCL11438	1.2600131	6.148945
DLBCL10507	0.2671366	6.0331473
DLBCL10477	0.6962983	5.0134273
DLBCL_RICOVER_290	6.8625183	9.46377
DLBCL11508	5.4578037	9.883033
