	u1	u2
DLBCL_C_D_1106_NULLPAIR	2.501597	3.1960492
DLBCL11498	2.964446	2.2486498
DLBCL10518	2.6931736	8.618567
DLBCL10462	5.12094	8.232325
DLBCL11573	1.6281701	4.7650666
DLBCL_RICOVER_1283	0.2955697	5.6863847
DLBCL11569	0.72220063	4.8410516
DLBCL10896	3.5938365	7.359985
DLBCL_RICOVER_288	2.7106507	4.383096
DLBCL10522	2.3156545	8.496282
DLBCL10480	2.5167532	3.2859087
DLBCL_RICOVER_678	3.654358	4.718154
DLBCL10463	7.915956	5.8369575
DLBCL10989	2.8684852	5.9221725
DLBCL_RICOVER_335	2.8433883	3.2050946
DLBCL_RICOVER_826	5.571125	8.567426
DLBCL_LS3809	5.173576	6.8884554
DLBCL_LS3820	0.57801676	5.9205966
DLBCL10554	2.8087173	8.801324
DLBCL10876	5.684462	5.352207
DLBCL_RICOVER_839	2.7400649	6.0653415
DLBCL10848	7.083725	6.446397
DLBCL11651	1.8878728	7.7812276
DLBCL10875	3.682191	7.864749
DLBCL10918	4.6853833	7.9049625
DLBCL10519	2.3390749	2.9691527
DLBCL10484	2.6919937	3.3594086
DLBCL10988	2.9223695	4.44314
DLBCL10928	3.3747623	6.342884
DLBCL10917	3.6003473	2.9599397
DLBCL11477	3.46544	8.014846
DLBCL11513	5.7734804	5.8346367
DLBCL10924	7.424366	6.27723
DLBCL_RICOVER_685	8.127544	5.562758
DLBCL11509	2.1728554	7.9401293
DLBCL10966	3.520554	7.956519
DLBCL10967	6.429722	5.477488
DLBCL10893	7.26898	6.291588
DLBCL11191	5.0271306	7.391577
DLBCL10864	7.6838293	5.6167603
DLBCL10869	1.6746829	8.374309
DLBCL_RICOVER_1204	6.3304696	6.13807
DLBCL10973	2.7996907	8.406145
DLBCL11518	2.8829825	6.0214787
DLBCL11432	4.6108904	8.315573
DLBCL11446	2.0555203	8.219974
DLBCL_RICOVER_1150	4.990117	6.741797
DLBCL10959	5.5370874	7.985026
DLBCL10514	0.834562	4.850876
DLBCL_MC_F739_AMA3	2.5572815	2.0067797
DLBCL_RICOVER_401	1.5673835	4.119665
DLBCL11581	5.603376	7.219814
DLBCL11468	3.3576214	9.287775
DLBCL11574	1.637085	8.330678
DLBCL10843	4.46124	8.061873
DLBCL_MC_F496DMP	2.6275108	5.783117
DLBCL11471	2.6546974	7.7563534
DLBCL11525	1.1308632	7.874256
DLBCL10955	5.94584	6.5079856
DLBCL11466	1.6175457	8.121221
DLBCL_MC_F362_MJB1	2.3033986	3.916901
DLBCL11510	2.4975314	7.691335
DLBCL10919	5.1770415	8.604615
DLBCL_RICOVER_338	4.778158	8.47748
DLBCL_RICOVER_151	6.0025015	6.2725067
DLBCL_C_D_1115_NULLPAIR	1.8255883	7.5910077
DLBCL11659	3.829196	8.007936
DLBCL_RICOVER_866	1.5385442	5.18786
DLBCL_C_D_1138_NULLPAIR	4.0437336	5.3166246
DLBCL11439	5.024712	8.084614
DLBCL11346	3.8967028	3.0366676
DLBCL11663	1.5301473	8.024623
DLBCL_LS4592	1.5018612	4.8239293
DLBCL10873	3.3834748	3.4599814
DLBCL11464	4.758163	8.692464
DLBCL10970	3.1108048	9.231135
DLBCL10838	5.497649	4.751775
DLBCL_MC_F210_GWC	1.8587238	7.134374
DLBCL_RICOVER_1081	7.1073427	6.970834
DLBCL_RICOVER_1269	1.717339	4.7040315
DLBCL_RICOVER_780	2.5808585	2.0332804
DLBCL10566	2.3272414	6.045149
DLBCL_C_D_1153_NULLPAIR	5.1797123	4.868528
DLBCL10453	5.104784	5.9455333
